Player,Team,TI,B.Impact,Bo.Impact
Mohammad Amir,LSG,246.02,-1.82,247.85
SM Curran,RR,230.88,116.65,114.22
Abhishek Pathak,RCB,202.32,202.32,0.0
Atharva Ankolekar,RR,182.17,0.0,182.17
GF Linde,GT,174.28,-1.78,176.07
CV Varun,PBKS,171.14,0.0,171.14
DR Mousley,LSG,169.23,130.24,39.0
GJ Maxwell,DC,167.93,179.27,-11.35
Tilak Varma,CSK,163.54,163.54,0.0
S Dube,RR,162.06,162.06,0.0
Shashank Singh,PBKS,159.96,127.24,32.72
Tanush Kotian,CSK,157.91,61.89,96.02000000000001
Aniket Verma,RR,155.36,155.36,0.0
AD Russell,DC,152.5,109.02,43.49
Sameer Rizvi,LSG,148.32,148.32,0.0
SV Samson,GT,145.84,145.84,0.0
KK Nair,CSK,145.57,145.57,0.0
MJ Owen,MI,142.12,107.74,34.38
Naman Dhir,GT,141.46,141.46,0.0
N Sindhu,DC,131.48,131.48,0.0
V Nigam,GT,128.61,81.06,47.55
R Parag,GT,124.88,124.88,0.0
HV Patel,PBKS,124.14,7.67,116.47
Urvil Patel,MI,122.0,122.0,0.0
Shubhang Hegde,LSG,120.46,108.81,11.65
Ajay Rohera,LSG,116.82,116.82,0.0
Sufiyan Muqeem,GT,111.74,0.0,111.74
WG Jacks,RR,109.82,109.82,0.0
NT Ellis,SRH,109.82,0.0,109.82
PD Salt,PBKS,109.55,109.55,0.0
V Kohli,LSG,108.9,108.9,0.0
V Suryavanshi,PBKS,108.23,108.23,0.0
D Brevis,GT,105.89,105.89,0.0
Ishan Kishan,KKR,105.41,105.41,0.0
PWH de Silva,RCB,105.29,32.47,72.81
Shahbaz Ahmed,KKR,104.4,29.42,74.98
Prashant Solanki,CSK,103.12,-1.75,104.87
Akhil Singh Rawat,KKR,102.13,102.13,0.0
AR Patel,PBKS,101.8,85.68,16.12
Parth Chandan,DC,101.33,66.69,34.64
FH Allen,SRH,97.35,97.35,0.0
Tanay Thyagarajan,CSK,94.16,0.0,94.16
Kartik Sharma,SRH,90.0,90.0,0.0
R Sai Kishore,GT,88.02,0.0,88.02
A Zampa,SRH,86.67,0.0,86.67
YBK Jaiswal,RR,84.53999999999999,84.53999999999999,0.0
JJ Bumrah,DC,82.66000000000001,-1.54,84.21000000000001
Shivam Shukla,MI,81.05,0.0,81.05
KA Pollard,RR,80.66,68.45,12.22
Abhishek Sharma,MI,80.61,80.61,0.0
VR Iyer,SRH,80.05000000000001,80.05000000000001,0.0
RD Gaikwad,CSK,78.23,78.23,0.0
LS Livingstone,PBKS,76.89,-1.79,78.68
Tripuresh Singh,SRH,76.41,22.64,53.77
Gurnoor Brar,DC,75.32000000000001,0.0,75.32000000000001
HH Pandya,LSG,75.22,76.64,-1.42
T Natarajan,RR,73.85,0.0,73.85
Vansh Bedi,PBKS,71.96,71.96,0.0
Akshat Raghuwanshi,MI,71.83,71.83,0.0
Karan Lal,RR,71.5,0.0,71.5
Naman Tiwari,CSK,68.69,0.0,68.69
SA Yadav,DC,68.35,68.35,0.0
SP Narine,SRH,68.35,51.52,16.84
C Green,KKR,67.97999999999999,38.34,29.64
TL Seifert,PBKS,67.92999999999999,67.92999999999999,0.0
JP Inglis,GT,66.76,66.76,0.0
Shubman Gill,LSG,65.96000000000001,65.96000000000001,0.0
JM Sharma,RCB,65.84,65.84,0.0
D Forrester,MI,65.59,40.38,25.21
H Ssenyondo,LSG,62.28,0.0,62.28
Priyansh Arya,RCB,61.45999999999999,61.45999999999999,0.0
D Padikkal,RR,58.23999999999999,58.23999999999999,0.0
DS Airee,DC,58.19,3.32,54.87
Suryansh Shedge,KKR,56.25,12.32,43.92
JJ Smit,PBKS,53.42,-1.83,55.25
Chirag Jani,RCB,52.66,40.94,11.72
MA Starc,MI,52.25,0.0,52.25
JC Archer,DC,49.87,-1.81,51.68
JC Buttler,DC,46.93,46.93,0.0
Anmolpreet Singh,KKR,46.14,46.14,0.0
GD Phillips,RR,45.77,45.77,0.0
Rasikh Salam,SRH,45.76,0.0,45.76
MR Marsh,KKR,43.72,43.72,0.0
T Stubbs,CSK,43.67,43.67,0.0
TP Ura,PBKS,42.13,42.13,0.0
Mohammad Ghazanfar,RR,41.73,0.0,41.73
MP Yadav,KKR,41.59,-1.22,42.81
J Overton,RR,41.29,0.0,41.29
Karan Shinde,SRH,40.56,40.56,0.0
S Gill,RCB,39.02,1.06,37.96
JA Duffy,LSG,37.35,0.0,37.35
Kranthi Kumar,CSK,37.05,0.0,37.05
Ritik Vats,DC,36.19,36.19,0.0
Sonu Yadav,CSK,36.1,9.64,26.47
MS Bhandage,PBKS,35.08,35.08,0.0
TM Head,KKR,33.98,33.98,0.0
Tarang Gohel,DC,32.32,32.32,0.0
SS Ghosh,RCB,31.17,-1.8,32.97
Dhruv Jurel,CSK,31.06,31.06,0.0
Ashwin Das,LSG,30.51,-1.45,31.95
DS Rathi,LSG,29.97,0.0,29.97
Abishek Porel,LSG,29.68,29.68,0.0
B Kumar,KKR,28.65,0.0,28.65
Junaid Siddique,RR,28.54,0.0,28.54
AR Ramjani,PBKS,28.23,-1.76,29.99
KL Rahul,SRH,27.98,27.98,0.0
Arshdeep Singh,LSG,27.68,-1.77,29.45
M Siddharth,GT,27.48,0.0,27.48
Praveen Dubey,MI,25.45,10.77,14.68
Yash Singh,RCB,24.18,0.0,24.18
Ravi Teja,PBKS,23.8,0.0,23.8
Harsh Dubey,DC,22.8,0.0,22.8
Sachin Baby,CSK,21.74,21.74,0.0
RK Singh,PBKS,21.66,21.66,0.0
AM Hardie,CSK,21.6,13.38,8.21
JR Hazlewood,MI,21.12,0.0,21.12
RE van der Merwe,CSK,20.85,6.53,14.33
CH Gayle,RCB,20.2,22.0,-1.8
Ashutosh Sharma,GT,20.01,0.0,20.01
RM Patidar,RCB,19.84,19.84,0.0
P Simran Singh,SRH,19.74,19.74,0.0
R Smaran,RR,15.54,15.54,0.0
JM Vince,CSK,13.9,13.9,0.0
HJ Manenti,RCB,13.46,-1.76,15.23
SS Iyer,KKR,12.53,12.53,0.0
N Pooran,MI,12.5,12.5,0.0
J Fraser-McGurk,DC,9.63,9.63,0.0
Utkarsh Singh,RR,8.44,0.0,8.44
Akash Vasisht,DC,7.52,0.0,7.52
RD Rickelton,RR,7.25,7.25,0.0
Jay Gohil,MI,5.02,5.02,0.0
RA Jadeja,CSK,1.44,8.21,-6.76
Ramandeep Singh,RCB,-0.22,-0.18,-0.04
Sunil Kumar,MI,-0.99,0.0,-0.99
Rishabh Chouhan,GT,-1.05,-1.05,0.0
Rashid Khan,RCB,-1.52,0.0,-1.52
Pulkit Narang,KKR,-1.56,0.0,-1.56
KA Maharaj,RCB,-1.6,0.0,-1.6
Rohan Kunnummal,MI,-1.64,-1.64,0.0
SH Johnson,KKR,-1.86,0.0,-1.86
Geet Puri,CSK,-2.83,3.71,-6.54
AK Markram,DC,-4.62,-0.79,-3.84
HB Shipley,LSG,-5.65,0.0,-5.65
Fazalhaq Farooqi,GT,-5.68,0.0,-5.68
M Pathirana,CSK,-6.65,0.0,-6.65
Abhilash Shetty,MI,-8.73,-1.58,-7.16
C Sakariya,RR,-10.7,0.0,-10.7
