team,points,matches_played,runs_for,balls_for,runs_against,balls_against,NRR,pts/match,Rank
CSK,48,39,6606,4483,6538,4552,0.2237,1.23,1
SRH,46,40,7433,4722,7321,4758,0.2127,1.15,2
DC,40,38,7319,4499,7138,4518,0.2814,1.05,3
RR,40,39,7265,4553,7309,4592,0.0238,1.03,4
PBKS,38,37,6359,4356,6087,4338,0.3399,1.03,5
GT,34,35,6130,4078,6182,4100,-0.0277,0.97,6
LSG,34,36,6472,4205,6663,4282,-0.1016,0.94,7
MI,34,37,6552,4361,6525,4270,-0.1542,0.92,8
KKR,32,36,6341,4278,6482,4202,-0.3622,0.89,9
RCB,26,35,6132,4168,6364,4091,-0.5064,0.74,10
