Name,Country,Specialism,Price,Func_Name,Spin/Pace,C/VC,C/U/A,CORNERSTONE,injury
Vaibhav Suryavanshi,India,BATTER,6.0,V Suryavanshi,Spin,,U,,
Finn Allen,New Zealand,WICKETKEEPER,3.0,FH Allen,0,,C,,
Nitish Rana,India,ALL-ROUNDER,13.0,N Rana,Spin,,C,,
Smaran Ravichandran,India,BATTER,5.0,Smaran Ravichandran,Spin,VC,U,,
Tim David,Australia,BATTER,1.2,TH David,Spin,,C,,
Shashank Singh,India,ALL-ROUNDER,20.0,Shashank Singh,Spin,C,C,1.0,
JJ Smit,Namibia,ALL-ROUNDER,0.5,JJ Smit,Pace,,A,,
Utkarsh Singh,India,ALL-ROUNDER,0.6,Utkarsh Singh,Spin,,U,,
Lasith Malinga,Sri Lanka,BOWLER,12.0,SL Malinga,Pace,,C,,
Alpesh Ramjani,Uganda,ALL-ROUNDER,12.0,AR Ramjani,Spin,,A,,
Mayank Yadav,India,BOWLER,12.75,MP Yadav,Pace,,C,,
Sai Sudharsan,India,BATTER,14.0,B Sai Sudharsan,0,,C,,
Tony Ura,PNG,WICKETKEEPER,0.5,TP Ura,Spin,,A,,
Shakib Al Hasan,Bangladesh,ALL-ROUNDER,2.25,Shakib Al Hasan,Spin,,C,,
Varun Chakaravarthy,India,BOWLER,12.0,CV Varun,Spin,,C,,
Washington Sundar,India,ALL-ROUNDER,15.0,Washington Sundar,Spin,,C,1.0,
David Payne,England,BOWLER,0.5,DA Payne,Pace,,C,,
Sonu Yadav,India,ALL-ROUNDER,0.3,Sonu Yadav,Pace,,U,,
Sanjay Yadav,India,ALL-ROUNDER,0.3,R Sanjay Yadav,Spin,,U,,
Harnoor Pannu,India,BATTER,0.3,Harnoor Singh,Spin,,U,,
Shashwat Rawat,India,BATTER,0.3,Shashwat Rawat,Pace,,U,,
Maramreddy Reddy,India,ALL-ROUNDER,0.3,M Hemanth Reddy,Spin,,U,,
Akshay Karnewar,India,BOWLER,0.4,Akshay Karnewar,Spin,,U,,
Devon Conway,New Zealand,BATTER,2.0,DP Conway,0,,C,1.0,
Vidwath Kaverappa,India,BOWLER,0.3,V Kaverappa,Pace,,U,,
