Name,Country,Specialism,Price,Func_Name,Spin/Pace,C/VC,C/U/A,CORNERSTONE,injury
Sanju Samson,India,WICKETKEEPER,20.0,SV Samson,0,C,C,1.0,
Naman Dhir,India,BATTER,12.0,Naman Dhir,Spin,VC,C,1.0,
Josh Inglis,Australia,WICKETKEEPER,15.0,JP Inglis,0,,C,1.0,
Riyan Parag,India,BATTER,10.5,R Parag,Spin,,C,,
Ruturaj Gaikwad,India,BATTER,11.5,RD Gaikwad,0,,C,,
Ravi Bishnoi,India,BOWLER,7.0,Ravi Bishnoi,Spin,,C,,
Rishabh Pant,India,WICKETKEEPER,1.3,RR Pant,0,,C,,
Harshal Patel,India,BOWLER,8.25,HV Patel,Pace,,C,,
Glenn Phillips,New Zealand,BATTER,5.75,GD Phillips,Spin,,C,,
Romario Shepherd,West Indies,ALL-ROUNDER,5.25,R Shepherd,Pace,,C,,
Sanvir Singh,India,ALL-ROUNDER,2.5,Sanvir Singh,Pace,,U,,
Vipraj Nigam,India,ALL-ROUNDER,2.75,V Nigam,Spin,,U,,
David Wiese,Namibia,ALL-ROUNDER,0.5,D Wiese,Pace,,A,,
Avesh Khan,India,BOWLER,0.6,Avesh Khan,Pace,,C,,
Anshul Kamboj,India,BOWLER,0.5,A Kamboj,Pace,,C,,
Arshin Kulkarni,India,ALL-ROUNDER,0.3,AA Kulkarni,Pace,,U,,
Spencer Johnson,Australia,BOWLER,1.0,SH Johnson,Pace,,C,,
Harpreet Brar,India,ALL-ROUNDER,0.5,Harpreet Brar,Spin,,U,,
George Linde,South Africa,ALL-ROUNDER,0.5,GF Linde,Spin,,C,,
Shreyas Gopal,India,BOWLER,0.3,S Gopal,Spin,,U,,
Anukul Roy,India,ALL-ROUNDER,16.0,AS Roy,Spin,,U,,
Donovan Ferreira,South Africa,WICKETKEEPER,0.5,D Ferreira,Spin,,C,,
Roelof van der Merwe,Netherlands,ALL-ROUNDER,0.5,RE van der Merwe,Spin,,A,,
Jacob Duffy,New Zealand,BOWLER,0.5,JA Duffy,Pace,,C,,
Kumar Kushagra,India,WICKETKEEPER,0.3,Kumar Kushagra,0,,U,,
