Name,Country,Specialism,Price,Func_Name,Spin/Pace,C/VC,C/U/A,CORNERSTONE,injury
Ishan Kishan,India,WICKETKEEPER,1.6,Ishan Kishan,Spin,VC,C,1.0,
Virat Singh,India,BATTER,0.3,Virat Singh,Spin,,U,,
Wayne Madsen,Italy,BATTER,4.0,WL Madsen,Spin,,A,,
Cameron Green,Australia,ALL-ROUNDER,20.0,C Green,Pace,C,C,1.0,
Shreyas Iyer,India,BATTER,5.25,SS Iyer,Spin,,C,,
Jay Gohil,India,BATTER,3.0,Jay Gohil,0,,U,,
Suryansh Shedge,India,ALL-ROUNDER,6.0,Suryansh Shedge,Pace,,U,,
Parvej Musarraf,India,ALL-ROUNDER,0.3,Parvej Musaraf,Spin,,U,,
Danny Briggs,England,BOWLER,0.5,DR Briggs,Spin,,C,,
Pulkit Narang,India,BOWLER,4.5,Pulkit Narang,Spin,,U,,
Abrar Ahmed,Pakistan,BOWLER,0.5,Abrar Ahmed,Spin,,A,,
Shahbaz Ahamad,India,ALL-ROUNDER,0.6,Shahbaz Ahmed,Spin,,C,,
Salil Arora,India,WICKETKEEPER,6.5,S Arora,0,,U,,
Akhil Singh Rawat,India,WICKETKEEPER,0.3,Akhil Singh Rawat,0,,U,,
Vignesh Puthur,India,BOWLER,8.5,V Puthur,Spin,,U,,
Jake Fraser-Mcgurk,Australia,BATTER,12.0,J Fraser-McGurk,0,,C,,
Anmolpreet Singh,India,BATTER,9.25,Anmolpreet Singh,0,,U,,
Sairaj Patil,India,ALL-ROUNDER,0.3,Sairaj Patil,Pace,,U,,
David Wiese,Namibia,ALL-ROUNDER,3.5,D Wiese,Pace,,A,,
Bhuvneshwar Kumar,India,BOWLER,20.0,B Kumar,Pace,,C,1.0,
Yuzvendra Chahal,India,BOWLER,3.5,YS Chahal,Spin,,C,,
Prasidh Krishna,India,BOWLER,3.75,M Prasidh Krishna,Pace,,C,,
Mitchell Starc,Australia,BOWLER,16.0,MA Starc,Pace,,C,,
Spencer Johnson,Australia,BOWLER,4.25,SH Johnson,Pace,,C,,
Shem Ngoche,Kenya,BOWLER,0.9,SO Ngoche,Spin,,A,,
