bowler,bowling_team,num_innings,wkts,balls,strike_rate,wkt_contribution_%
Arshdeep Singh,LSG,14,23,313,13.61,28.05
B Kumar,KKR,12,26,214,8.23,27.08
JJ Bumrah,DC,13,28,273,9.75,25.69
NT Ellis,SRH,13,24,300,12.5,25.53
GF Linde,GT,10,25,223,8.92,23.81
Karan Lal,RR,10,18,194,10.78,21.43
AK Markram,DC,9,23,164,7.13,21.1
Sufiyan Muqeem,GT,11,22,245,11.14,20.95
JJ Smit,PBKS,9,20,216,10.8,20.83
H Ssenyondo,LSG,8,16,181,11.31,19.51
Geet Puri,CSK,5,17,112,6.59,19.1
Mohammad Ghazanfar,RR,7,16,138,8.62,19.05
Harsh Dubey,DC,9,20,174,8.7,18.35
A Zampa,SRH,14,17,318,18.71,18.09
Ehsan Khan,MI,10,13,228,17.54,16.67
HJ Manenti,RCB,7,18,148,8.22,16.07
Kuldeep Yadav,LSG,7,12,162,13.5,14.63
Fazalhaq Farooqi,CSK,13,13,306,23.54,14.61
AR Ramjani,PBKS,11,14,255,18.21,14.58
SS Ghosh,RCB,8,16,181,11.31,14.29
Rasikh Salam,SRH,6,13,138,10.62,13.83
MP Yadav,PBKS,12,13,246,18.92,13.54
J Overton,GT,7,14,162,11.57,13.33
CV Varun,PBKS,7,12,138,11.5,12.5
Abrar Ahmed,RCB,6,14,142,10.14,12.5
Harshit Rana,GT,8,13,186,14.31,12.38
Shivam Shukla,MI,4,9,96,10.67,11.54
MR Marsh,MI,9,9,198,22.0,11.54
Tanush Kotian,CSK,13,10,238,23.8,11.24
SH Johnson,RCB,8,12,174,14.5,10.71
PWH de Silva,RCB,13,12,288,24.0,10.71
KA Maharaj,RCB,5,12,120,10.0,10.71
Suryansh Shedge,KKR,5,10,78,7.8,10.42
Pulkit Narang,KKR,11,10,228,22.8,10.42
MA Starc,KKR,8,10,137,13.7,10.42
Sonu Yadav,CSK,7,9,163,18.11,10.11
RE van der Merwe,CSK,5,9,120,13.33,10.11
Chirag Jani,RCB,13,11,288,26.18,9.82
Mohammad Amir,LSG,6,8,141,17.62,9.76
Tanay Thyagarajan,CSK,6,8,144,18.0,8.99
Ravi Teja,MI,4,7,96,13.71,8.97
AJ Hosein,MI,8,7,186,26.57,8.97
R Sai Kishore,SRH,6,8,139,17.38,8.51
S Dube,RR,12,7,222,31.71,8.33
Zeeshan Ansari,RR,7,7,136,19.43,8.33
Utkarsh Singh,PBKS,7,8,120,15.0,8.33
Shashank Singh,PBKS,14,8,228,28.5,8.33
S Lamichhane,KKR,4,8,96,12.0,8.33
C Green,KKR,10,8,202,25.25,8.33
YS Chahal,CSK,7,7,117,16.71,7.87
Noor Ahmad,MI,8,6,186,31.0,7.69
Abhishek Tanwar,MI,4,6,76,12.67,7.69
