showdown,matches,Team1_Home (W-L),Team2_Home (W-L),Neutral_Venue  (W-L),Team1_Win%,Team2_Win%
RR v SRH,10,2-3,2-2,1-0,50.0%,50.0%
DC v SRH,10,1-3,2-3,0-1,30.0%,70.0%
MI v RR,10,3-2,1-3,0-1,40.0%,60.0%
CSK v PBKS,10,2-2,1-5,0-0,30.0%,70.0%
CSK v GT,10,3-2,2-3,0-0,50.0%,50.0%
DC v MI,10,3-1,1-4,0-1,40.0%,60.0%
PBKS v RCB,9,3-2,2-2,0-0,55.56%,44.44%
MI v PBKS,9,2-3,0-4,0-0,22.22%,77.78%
LSG v SRH,9,1-2,1-5,0-0,22.22%,77.78%
KKR v RR,9,2-2,2-3,0-0,44.44%,55.56%
KKR v LSG,9,2-2,1-4,0-0,33.33%,66.67%
GT v RCB,9,2-3,2-0 (#Tie = 1),1-0,55.56% (#Tie = 1),33.33% (#Tie = 1)
GT v PBKS,9,1-2,4-1,0-1,55.56%,44.44%
GT v MI,9,3-1,3-1,1-0,77.78%,22.22%
GT v LSG,9,2-2,3-2,0-0,55.56%,44.44%
GT v RR,9,1-5,1-2,0-0,22.22%,77.78%
DC v RCB,9,2-2,3-2,0-0,55.56%,44.44%
CSK v KKR,9,3-2,3-1,0-0,66.67%,33.33%
CSK v SRH,9,3-1,2-3,0-0,55.56%,44.44%
DC v RR,8,2-2,2-0,0-2,50.0%,50.0%
LSG v PBKS,8,3-2,1-2,0-0,50.0%,50.0%
RCB v RR,8,0-4,2-2,0-0,25.0%,75.0%
PBKS v SRH,8,1-4,1-2,0-0,25.0%,75.0%
PBKS v RR,8,2-1,2-2,0-1,50.0%,50.0%
MI v RCB,8,0-3,4-0,1-0,62.5%,37.5%
CSK v MI,8,4-1,1-2,0-0,62.5%,37.5%
LSG v RR,8,2-1,1-4,0-0,37.5%,62.5%
LSG v MI,8,2-1 (#Tie = 1),1-3,0-0,37.5% (#Tie = 1),50.0% (#Tie = 1)
DC v GT,8,3-2,2-1,0-0,62.5%,37.5%
KKR v RCB,8,2-2,2-2,0-0,50.0%,50.0%
KKR v PBKS,8,1-4,1-2,0-0,25.0%,75.0%
DC v LSG,8,1-2,1-4,0-0,25.0%,75.0%
DC v KKR,8,3-0,2-3,0-0,62.5%,37.5%
CSK v RR,7,3-1,1-2,0-0,57.14%,42.86%
RCB v SRH,7,1-2,2-2,0-0,42.86%,57.14%
DC v PBKS,7,4-0,1-2,0-0,71.43%,28.57%
GT v SRH,7,4-1,1-1,0-0,71.43%,28.57%
KKR v SRH,7,3-0,1-3,0-0,57.14%,42.86%
KKR v MI,7,1-2,2-2,0-0,42.86%,57.14%
CSK v RCB,7,1-1,2-2 (#Tie = 1),0-0,42.86% (#Tie = 1),42.86% (#Tie = 1)
LSG v RCB,7,2-2,2-1,0-0,57.14%,42.86%
CSK v DC,7,0-2 (#Tie = 1),1-3,0-0,14.29% (#Tie = 1),71.43% (#Tie = 1)
CSK v LSG,6,3-1,1-1,0-0,66.67%,33.33%
MI v SRH,6,3-0,2-1,0-0,83.33%,16.67%
GT v KKR,6,1-1,2-2,0-0,50.0%,50.0%
