bowler,num_innings,runs,balls,wkts,bowl_sr,bowl_eco,team
HJ Manenti,5,181,102,16,6.38,10.65,RCB
Harsh Dubey,5,142,102,14,7.29,8.35,DC
Rasikh Salam,5,141,102,14,7.29,8.29,SRH
Shivam Shukla,5,166,117,14,8.36,8.51,MI
AK Markram,5,147,106,13,8.15,8.32,DC
Suryansh Shedge,5,125,108,13,8.31,6.94,KKR
JJ Smit,5,182,109,12,9.08,10.02,PBKS
Abrar Ahmed,5,221,118,12,9.83,11.24,KKR
B Kumar,5,116,76,12,6.33,9.16,KKR
GF Linde,5,163,108,11,9.82,9.06,GT
Sufiyan Muqeem,5,183,115,11,10.45,9.55,GT
A Nagwaswalla,5,221,114,10,11.4,11.63,RR
B Muzarabani,3,124,72,9,8.0,10.33,GT
C Green,5,140,106,8,13.25,7.92,KKR
RE van der Merwe,4,167,96,8,12.0,10.44,CSK
Karan Lal,5,118,84,8,10.5,8.43,RR
SS Ghosh,5,171,104,8,13.0,9.87,RCB
Mohammad Ghazanfar,4,122,72,8,9.0,10.17,RR
AR Ramjani,5,135,108,7,15.43,7.5,PBKS
Ravi Teja,5,211,120,7,17.14,10.55,SRH
JJ Bumrah,5,156,108,7,15.43,8.67,DC
Ashwin Shelke,4,186,96,6,16.0,11.62,DC
MP Yadav,5,143,104,6,17.33,8.25,PBKS
A Zampa,5,165,108,6,18.0,9.17,SRH
Tripuresh Singh,5,150,108,6,18.0,8.33,SRH
NT Ellis,5,162,96,6,16.0,10.12,SRH
HH Pandya,5,126,96,6,16.0,7.88,LSG
Ashwin Das,5,166,114,6,19.0,8.74,LSG
CV Varun,5,141,84,6,14.0,10.07,PBKS
Harshit Rana,5,218,120,6,20.0,10.9,GT
KA Maharaj,5,180,120,6,20.0,9.0,RCB
J Overton,5,210,120,6,20.0,10.5,GT
JR Hazlewood,5,155,102,6,17.0,9.12,MI
Mohammad Amir,4,155,93,5,18.6,10.0,LSG
JC Archer,5,182,102,5,20.4,10.71,PBKS
H Ssenyondo,5,162,114,5,22.8,8.53,LSG
Sanvir Singh,3,54,42,5,8.4,7.71,PBKS
Ehsan Khan,4,136,84,5,16.8,9.71,MI
Tanay Thyagarajan,4,208,96,5,19.2,13.0,CSK
YS Chahal,5,170,90,5,18.0,11.33,KKR
SH Johnson,5,167,96,4,24.0,10.44,KKR
Sonu Yadav,5,166,103,4,25.75,9.67,CSK
T Natarajan,3,94,65,4,16.25,8.68,RR
Pulkit Narang,5,119,84,4,21.0,8.5,KKR
Fazalhaq Farooqi,5,157,120,4,30.0,7.85,CSK
Atharva Ankolekar,3,46,52,4,13.0,5.31,RR
MA Starc,5,120,79,4,19.75,9.11,KKR
Cheepurapalli Stephen,5,158,93,4,23.25,10.19,RR
DS Rathi,5,196,111,3,37.0,10.59,LSG
Utkarsh Singh,5,114,90,3,30.0,7.6,PBKS
D Wiese,5,154,72,3,24.0,12.83,KKR
Tanush Kotian,5,147,76,3,25.33,11.61,CSK
Ashutosh Sharma,5,160,120,3,40.0,8.0,GT
MR Marsh,4,115,72,3,24.0,9.58,MI
Zeeshan Ansari,3,84,46,3,15.33,10.96,RR
Shaheen Shah Afridi,3,125,48,3,16.0,15.62,DC
M Markande,1,33,24,3,8.0,8.25,SRH
Imran Tahir,4,130,96,3,32.0,8.12,RCB
R Parag,5,55,30,3,10.0,11.0,GT
Abhishek Tanwar,1,21,16,2,8.0,7.88,MI
Shahbaz Ahmed,1,53,24,2,12.0,13.25,KKR
Mangesh Yadav,2,65,42,2,21.0,9.29,GT
S Dube,5,162,84,2,42.0,11.57,RR
Gurnoor Brar,3,118,72,2,36.0,9.83,DC
GD Phillips,4,111,60,2,30.0,11.1,RR
JA Duffy,1,38,24,1,24.0,9.5,LSG
Vraj Patel,1,37,24,1,24.0,9.25,RR
V Nigam,3,94,48,1,48.0,11.75,GT
Shubhang Hegde,1,29,24,1,24.0,7.25,LSG
Kuldeep Yadav,5,152,100,1,100.0,9.12,LSG
MP Stoinis,1,31,24,1,24.0,7.75,SRH
M Pathirana,1,48,24,1,24.0,12.0,RCB
VR Iyer,5,107,48,1,48.0,13.38,SRH
WG Jacks,1,54,24,1,24.0,13.5,SRH
Washington Sundar,1,40,24,1,24.0,10.0,GT
S Lamichhane,1,50,24,1,24.0,12.5,RCB
PHKD Mendis,2,38,24,1,24.0,9.5,PBKS
JO Holder,1,48,24,0,24.0,12.0,RCB
KA Pollard,1,25,13,0,13.0,11.54,RR
J Kariko,1,64,24,0,24.0,16.0,LSG
GJ Maxwell,5,182,90,0,90.0,12.13,DC
Nithish Kumar Reddy,1,16,12,0,12.0,8.0,GT
Noor Ahmad,1,20,18,0,18.0,6.67,MI
PWH de Silva,1,56,24,0,24.0,14.0,RCB
RA Jadeja,1,16,12,0,12.0,8.0,LSG
Shadab Khan,1,35,18,0,18.0,11.67,SRH
Sunny Sandhu,1,12,12,0,12.0,6.0,DC
Sikandar Raza,1,50,24,0,24.0,12.5,MI
DR Mousley,5,90,66,0,66.0,8.18,LSG
Vidyadhar Patil,1,41,18,0,18.0,13.67,SRH
