bowler,num_innings,runs,balls,wkts,bowl_sr,bowl_eco,team
Sufiyan Muqeem,5,196,114,13,8.77,10.32,GT
H Ssenyondo,5,166,120,12,10.0,8.3,LSG
GF Linde,5,154,104,11,9.45,8.88,GT
Mohammad Ghazanfar,5,140,108,11,9.82,7.78,RR
J Overton,5,206,120,11,10.91,10.3,RR
B Kumar,5,196,119,11,10.82,9.88,KKR
Shivam Shukla,5,203,120,10,12.0,10.15,MI
JJ Bumrah,5,166,104,10,10.4,9.58,DC
Mohammad Amir,5,171,120,10,12.0,8.55,LSG
Pulkit Narang,5,160,110,9,12.22,8.73,KKR
RE van der Merwe,5,186,108,9,12.0,10.33,CSK
Atharva Ankolekar,5,190,120,9,13.33,9.5,RR
SS Ghosh,5,212,111,9,12.33,11.46,RCB
HJ Manenti,5,205,117,9,13.0,10.51,RCB
NT Ellis,5,221,120,9,13.33,11.05,SRH
JJ Smit,5,176,120,8,15.0,8.8,PBKS
M Pathirana,5,198,120,8,15.0,9.9,CSK
Kuldeep Yadav,5,151,120,8,15.0,7.55,LSG
T Natarajan,5,160,114,8,14.25,8.42,RR
Junaid Siddique,5,226,120,7,17.14,11.3,RR
Shahbaz Ahmed,3,112,66,7,9.43,10.18,KKR
Sunil Kumar,5,126,93,7,13.29,8.13,MI
Shaheen Shah Afridi,5,215,114,7,16.29,11.32,DC
Shashank Singh,5,230,108,7,15.43,12.78,PBKS
Rasikh Salam,5,203,120,7,17.14,10.15,SRH
Ashutosh Sharma,5,169,114,7,16.29,8.89,GT
KA Maharaj,3,95,72,7,10.29,7.92,RCB
Sonu Yadav,5,181,102,6,17.0,10.65,CSK
Karan Lal,5,185,113,6,18.83,9.82,RR
C Green,5,210,117,6,19.5,10.77,KKR
JR Hazlewood,5,156,120,6,20.0,7.8,MI
Geet Puri,5,231,120,6,20.0,11.55,CSK
DR Briggs,4,135,90,6,15.0,9.0,RCB
Ehsan Khan,5,200,120,6,20.0,10.0,CSK
L Ngidi,3,137,72,6,12.0,11.42,RR
Chirag Jani,4,164,96,5,19.2,10.25,RCB
Tanush Kotian,5,197,108,5,21.6,10.94,CSK
A Zampa,5,155,120,5,24.0,7.75,SRH
Harsh Dubey,5,203,120,5,24.0,10.15,DC
Easwaran K,4,170,96,5,19.2,10.62,DC
KH Pandya,3,109,72,5,14.4,9.08,SRH
DS Airee,3,117,72,5,14.4,9.75,DC
C Sakariya,5,196,120,5,24.0,9.8,RR
AD Russell,5,115,72,4,18.0,9.58,DC
GD Phillips,5,189,102,4,25.5,11.12,RR
SM Curran,2,75,48,4,12.0,9.38,RR
Utkarsh Singh,5,121,102,4,25.5,7.12,RR
CV Varun,5,170,120,4,30.0,8.5,PBKS
Ravi Teja,5,176,114,4,28.5,9.26,PBKS
JA Duffy,5,244,120,4,30.0,12.2,LSG
JC Archer,2,82,48,4,12.0,10.25,DC
KA Pollard,5,165,78,4,19.5,12.69,RR
Abhishek Tanwar,5,215,90,4,22.5,14.33,RCB
DS Rathi,4,102,96,4,24.0,6.38,LSG
Tanay Thyagarajan,5,200,120,3,40.0,10.0,CSK
V Puthur,3,111,66,3,22.0,10.09,RCB
B Muzarabani,3,93,63,3,21.0,8.86,GT
Arshad Khan,4,113,66,3,22.0,10.27,CSK
M Siddharth,5,213,120,3,40.0,10.65,GT
GJ Maxwell,5,177,96,3,32.0,11.06,DC
Gurnoor Brar,5,203,120,3,40.0,10.15,DC
Sayed Irfan Aftab,3,125,72,3,24.0,10.42,PBKS
Prashant Solanki,2,57,48,3,16.0,7.12,CSK
Arshdeep Singh,4,175,96,3,32.0,10.94,LSG
Shubhang Hegde,5,198,102,3,34.0,11.65,LSG
V Nigam,3,57,54,2,27.0,6.33,GT
Ashwin Das,2,88,48,2,24.0,11.0,LSG
PWH de Silva,5,171,120,2,60.0,8.55,RCB
LS Livingstone,1,16,12,2,6.0,8.0,PBKS
MJ Owen,1,46,24,2,12.0,11.5,MI
Tripuresh Singh,2,60,48,2,24.0,7.5,SRH
S Dube,5,185,96,2,48.0,11.56,RR
MR Marsh,5,133,84,2,42.0,9.5,KKR
Parth Chandan,3,92,66,2,33.0,8.36,DC
R Shepherd,4,101,72,2,36.0,8.42,SRH
HV Patel,1,36,24,1,24.0,9.0,PBKS
PHKD Mendis,5,107,60,1,60.0,10.7,PBKS
Shadab Khan,2,40,24,1,24.0,10.0,
VR Iyer,5,58,36,1,36.0,9.67,SRH
Suryansh Shedge,2,50,30,1,30.0,10.0,KKR
SP Narine,2,82,48,1,48.0,10.25,SRH
AR Ramjani,1,32,18,1,18.0,10.67,PBKS
Satyajeet Bachhav,1,42,24,1,24.0,10.5,MI
Nithish Kumar Reddy,1,62,24,1,24.0,15.5,GT
Abhishek Sharma,3,94,60,1,60.0,9.4,MI
DR Mousley,1,39,18,0,18.0,13.0,LSG
HH Pandya,2,92,48,0,48.0,11.5,LSG
HB Shipley,1,54,24,0,24.0,13.5,LSG
Fazalhaq Farooqi,1,42,24,0,24.0,10.5,GT
Abhilash Shetty,1,53,24,0,24.0,13.25,MI
AR Patel,1,10,18,0,18.0,3.33,PBKS
AK Markram,1,66,24,0,24.0,16.5,DC
RA Jadeja,2,96,42,0,42.0,13.71,CSK
