team,highest_batting_total,best_bowling_performance
CSK,200-6 (120) vs DC in S03M018,137-10 (99) vs KKR in S03M008
DC,216-6 (120) vs RCB in S03M013,200-6 (120) vs CSK in S03M018
GT,216-4 (120) vs DC in S03M010,191-8 (120) vs DC in S03M010
KKR,216-5 (120) vs LSG in S03M004,138-8 (120) vs CSK in S03M008
LSG,219-5 (120) vs SRH in S03M011,189-6 (120) vs MI in S03M017
MI,192-5 (120) vs CSK in S03M002,107-10 (86) vs LSG in S03M017
PBKS,197-4 (120) vs KKR in S03M015,160-10 (120) vs KKR in S03M020
RCB,205-6 (120) vs DC in S03M013,183-8 (120) vs DC in S03M003
RR,207-5 (113) vs SRH in S03M001,181-8 (120) vs MI in S03M012
SRH,220-3 (120) vs LSG in S03M011,165-10 (118) vs MI in S03M006
