player,team,points
GJ Maxwell,RR,1207
Ashutosh Sharma,RCB,988
Abhishek Sharma,MI,875
LS Livingstone,SRH,845
SV Samson,GT,812
JP Inglis,GT,788
SP Narine,LSG,756
N Sindhu,DC,751
AD Russell,DC,751
B Sai Sudharsan,RCB,746
AK Markram,SRH,745
M Pathirana,RCB,744
B Kumar,KKR,729
V Suryavanshi,PBKS,726
Naman Dhir,GT,717
SA Yadav,DC,713
Shashank Singh,PBKS,708
Shubman Gill,LSG,703
PD Salt,RCB,687
N Pooran,MI,684
JJ Bumrah,MI,680
DAJ Bracewell,MI,677
AR Patel,CSK,676
Priyansh Arya,SRH,673
FH Allen,LSG,669
BJ McMullen,DC,644
Aniket Verma,RR,634
R Shepherd,GT,626
PP Shaw,MI,624
YS Chahal,RCB,617
V Kohli,DC,616
M Prasidh Krishna,DC,602
CV Varun,PBKS,596
Shakib Al Hasan,PBKS,593
P Simran Singh,SRH,580
TA Boult,MI,572
Washington Sundar,PBKS,572
TM Head,CSK,568
Tilak Varma,CSK,565
HH Pandya,MI,561
WG Jacks,LSG,555
Suryansh Shedge,CSK,555
Rasikh Salam,GT,543
R Parag,GT,535
YBK Jaiswal,RR,532
MA Starc,KKR,526
JM Sharma,RCB,525
JM Bairstow,KKR,523
RD Rickelton,RR,520
DS Rathi,KKR,516
C Green,RCB,510
Arshdeep Singh,LSG,500
KA Pollard,CSK,500
AM Rahane,KKR,493
Akash Vasisht,MI,492
BM Duckett,CSK,490
N Rana,KKR,487
SS Iyer,LSG,486
PHKD Mendis,KKR,479
Arshad Khan,KKR,469
RD Gaikwad,RCB,464
KL Rahul,SRH,461
Fazalhaq Farooqi,CSK,455
Rashid Khan,GT,453
JC Buttler,KKR,453
A Zampa,SRH,445
Abishek Porel,DC,441
R Sai Kishore,GT,440
RM Patidar,RR,432
Ishan Kishan,KKR,432
T Natarajan,CSK,426
JR Hazlewood,RR,425
RA Jadeja,DC,424
AJ Tye,DC,421
MP Yadav,CSK,413
Ravi Bishnoi,PBKS,412
A Nortje,RCB,409
BA Stokes,LSG,407
Q de Kock,PBKS,401
RK Singh,RCB,390
VR Iyer,SRH,377
Mayank Dagar,RR,375
S Dube,RR,374
KH Pandya,SRH,374
H Klaasen,PBKS,371
R Ashwin,KKR,349
Kuldeep Yadav,SRH,342
NT Ellis,LSG,342
Yudhvir Singh,GT,326
MP Stoinis,PBKS,321
M Theekshana,MI,309
Sandeep Sharma,RR,303
Mohammad Nabi,GT,302
MM Ali,KKR,293
M Siddharth,CSK,291
WL Madsen,MI,288
AJ Turner,MI,280
M Jansen,RR,274
MG Bracewell,DC,271
Dhruv Jurel,LSG,268
PJ Cummins,PBKS,265
Abdul Samad,LSG,261
Urvil Patel,DC,260
CJ Jordan,GT,257
LG Pretorius,GT,255
RR Rossouw,MI,253
Harpreet Brar,RCB,252
Smaran Ravichandran,PBKS,251
Zeeshan Ansari,LSG,248
Atharva Ankolekar,MI,247
Anmolpreet Singh,CSK,245
HV Patel,PBKS,235
RS Hangargekar,RCB,233
KD Karthik,MI,230
K Kartikeya,GT,219
Tanush Kotian,SRH,200
Harshit Rana,CSK,193
Sameer Rizvi,LSG,193
Umran Malik,MI,187
Swapnil Singh,RR,184
SH Johnson,SRH,183
JC Archer,LSG,180
Naveen-ul-Haq,SRH,178
Mohammad Ghazanfar,CSK,174
GD Phillips,GT,173
Rahul Singh,MI,173
T Stubbs,SRH,173
SS Ghosh,MI,169
DS Airee,RCB,167
Mohammed Siraj,RCB,166
N Wadhera,RR,160
RK Bhui,CSK,159
Ravi Teja,LSG,158
RR Pant,KKR,156
A Mishra,CSK,154
HR Shokeen,RR,154
KA Maharaj,RR,152
C Sakariya,SRH,152
Mohammed Shami,PBKS,144
F du Plessis,CSK,138
M Markande,PBKS,135
Kartik Sharma,LSG,131
Avesh Khan,DC,130
JO Holder,SRH,129
K Gowtham,DC,129
Ashwani Kumar,RR,125
TU Deshpande,RR,120
VG Arora,KKR,119
HC Brook,PBKS,118
Suyash Sharma,MI,112
GF Linde,RR,110
PWH de Silva,DC,110
Harsh Dubey,LSG,106
Salman Nizar,PBKS,106
Mukesh Kumar,GT,98
R Tewatia,RR,96
Jay Gohil,MI,96
Noor Ahmad,RCB,87
V Nigam,GT,85
DP Conway,GT,84
JG Bethell,SRH,84
A Raghuvanshi,KKR,84
LH Ferguson,MI,79
J Fraser-McGurk,RCB,78
OEG Baartman,RCB,77
Yuvraj Chaudhary,RCB,76
MA Agarwal,CSK,76
A Badoni,SRH,72
Sikandar Raza,DC,71
Mujeeb Ur Rahman,CSK,71
JD Unadkat,SRH,68
Yash Thakur,PBKS,67
Ramandeep Singh,LSG,67
Nithish Kumar Reddy,GT,67
SZ Mulani,MI,60
DJ Hooda,GT,54
TH David,LSG,50
Azmatullah Omarzai,RR,36
V Kaverappa,SRH,36
SB Dubey,GT,35
Mustafizur Rahman,DC,35
S Gopal,DC,33
Gurjapneet Singh,LSG,33
Mohsin Khan,RCB,32
DL Chahar,PBKS,32
A Kamboj,RR,31
Kartik Tyagi,PBKS,29
MM Sharma,MI,28
A Mhatre,KKR,27
Samarth Vyas,MI,26
Jagjit Singh,CSK,26
CJ Green,RCB,25
RG Sharma,PBKS,24
MK Lomror,SRH,24
G Coetzee,KKR,20
Sumit Kumar,DC,18
Sanvir Singh,SRH,16
MR Marsh,DC,14
D Padikkal,GT,14
Shahbaz Ahmed,LSG,11
SM Curran,KKR,10
KK Ahmed,GT,10
M Shahrukh Khan,RCB,9
A Manohar,GT,8
Mohit Avasthi,MI,7
AS Roy,SRH,6
PN Mankad,SRH,5
Lalit Yadav,RCB,5
D Brevis,PBKS,4
Akash Deep,SRH,3
Yash Dayal,LSG,2
MJ Henry,RR,1
K Rabada,DC,1
DA Miller,PBKS,0
I Sharma,GT,-1
Cheepurapalli Stephen,DC,-6
R Powell,KKR,-6
LUVNITH SISODIA,RR,-6
HS Desai,DC,-6
