bowling_team,phase,wkts,eco,SR
CSK,Death,31,10.13,11.39
CSK,Middle,26,9.83,29.08
CSK,PP,26,8.99,19.38
DC,Death,34,11.41,11.88
DC,Middle,28,8.89,28.93
DC,PP,18,10.81,30.0
GT,Death,34,10.0,12.88
GT,Middle,37,8.64,21.89
GT,PP,21,9.61,25.71
KKR,Death,33,10.78,11.61
KKR,Middle,35,8.31,21.6
KKR,PP,18,9.19,28.0
LSG,Middle,27,9.01,28.0
LSG,PP,18,10.08,28.0
LSG,Death,36,9.99,11.67
MI,Death,35,10.56,10.26
MI,Middle,45,8.45,17.24
MI,PP,28,9.42,19.29
PBKS,Death,20,11.2,17.65
PBKS,Middle,40,8.93,18.82
PBKS,PP,28,8.37,18.0
RCB,Death,33,11.44,12.94
RCB,Middle,36,8.53,22.5
RCB,PP,22,9.84,24.55
RR,Death,34,11.53,11.53
RR,Middle,35,9.15,21.6
RR,PP,16,10.27,31.5
SRH,Middle,36,8.95,21.0
SRH,Death,36,10.7,10.22
SRH,PP,13,10.12,38.77
