bowler,bowling_team,num_innings,3+_wkts,balls,economy,5+_wkts
CV Varun,PBKS,10,4,207,10.14,0
B Kumar,KKR,12,4,267,10.18,0
YS Chahal,RCB,7,3,153,9.92,1
DS Rathi,KKR,7,3,162,7.52,0
R Shepherd,GT,10,3,234,9.9,0
Rasikh Salam,GT,10,3,238,9.1,0
GJ Maxwell,RR,12,3,273,10.18,0
M Pathirana,RCB,14,3,329,10.6,0
AJ Tye,DC,5,2,108,10.28,0
BA Stokes,LSG,5,2,120,8.85,0
WG Jacks,LSG,7,2,150,9.68,0
Rashid Khan,GT,7,2,162,8.37,0
Kuldeep Yadav,SRH,9,2,180,8.87,0
Sandeep Sharma,RR,9,2,185,10.51,0
JJ Bumrah,MI,10,2,195,8.25,0
A Nortje,RCB,9,2,209,11.6,0
AK Markram,SRH,10,2,222,10.59,0
TA Boult,MI,10,2,230,9.47,0
MA Starc,KKR,11,2,255,10.8,0
Mohammad Ghazanfar,CSK,1,1,24,7.25,1
SS Ghosh,MI,3,1,48,7.62,0
PWH de Silva,DC,2,1,48,9.0,0
Akash Vasisht,MI,4,1,66,7.09,0
Atharva Ankolekar,MI,3,1,71,10.06,0
Harsh Dubey,LSG,3,1,72,11.67,0
Swapnil Singh,RR,4,1,96,11.38,0
JC Archer,LSG,5,1,108,12.5,0
PHKD Mendis,KKR,6,1,113,7.43,0
NT Ellis,LSG,5,1,114,10.16,1
M Siddharth,CSK,5,1,120,7.95,0
MG Bracewell,DC,6,1,120,9.05,0
A Mishra,CSK,5,1,120,10.45,0
CJ Jordan,GT,6,1,129,7.95,0
RS Hangargekar,RCB,6,1,138,7.96,0
T Natarajan,CSK,6,1,144,9.04,0
HH Pandya,MI,7,1,150,10.8,0
MP Yadav,CSK,8,1,159,9.81,0
Mohammad Nabi,GT,7,1,168,9.39,0
Ravi Bishnoi,PBKS,9,1,192,9.34,0
AD Russell,DC,14,1,198,12.42,1
Shakib Al Hasan,PBKS,9,1,200,8.52,0
DAJ Bracewell,MI,9,1,204,9.56,0
A Zampa,SRH,9,1,216,8.06,0
Fazalhaq Farooqi,CSK,10,1,228,9.42,0
JR Hazlewood,RR,10,1,240,9.2,0
M Prasidh Krishna,DC,12,1,282,8.81,0
SP Narine,LSG,13,1,312,8.62,0
Arshdeep Singh,LSG,14,1,336,9.04,0
