Date,Match_Num,Home,Away,Winner,POTM_performance,Top_Scorer,Top_Bowler,Match_Report,Match_Rating
2025-11-02,1,RR,PBKS,RR,S Dube (RR) -> 91 off 47 ; 3-49 (4.0),S Dube (RR) -> 91 off 47,A Nagwaswalla (RR) -> 4-22 (4.0),RR 194-3 (17.5) beat PBKS 193-8 (20.0) by 7 wickets!,4.7/10
2025-11-02,2,DC,GT,DC,JJ Bumrah (DC) -> 4-11 (3.0),N Sindhu (DC) -> 89* off 46,JJ Bumrah (DC) -> 4-11 (3.0),DC 221-4 (20.0) beat GT 174-10 (18.0) by 47 runs!,4.2/10
2025-11-02,3,CSK,LSG,CSK,CH Gayle (CSK) -> 51 off 27 ; 1-1 (1.0),Abdul Samad (LSG) -> 61* off 52,Tanush Kotian (CSK) -> 3-37 (4.0),CSK 155-8 (17.0) beat LSG 152-8 (20.0) by 2 wickets!,6.7/10
2025-11-02,4,RCB,SRH,SRH,JM Sharma (RCB) -> 80 off 51,JM Sharma (RCB) -> 80 off 51,KA Maharaj (SRH) -> 3-20 (4.0),SRH 189-10 (18.1) beat RCB 171-7 (20.0) by 18 runs!,6.6/10
2025-11-02,5,KKR,MI,MI,SP Narine (KKR) -> 82 off 52 ; 1-36 (4.0),SP Narine (KKR) -> 82 off 52,B Kumar (KKR) -> 4-29 (4.0),MI 173-10 (20.0) beat KKR 145-10 (17.3) by 28 runs!,3.6/10
2025-11-03,6,MI,DC,MI,Urvil Patel (MI) -> 105* off 63,Urvil Patel (MI) -> 105* off 63,V Nigam (MI) -> 3-26 (3.0),MI 202-3 (20.0) beat DC 198-10 (19.2) by 4 runs!,9.7/10
2025-11-03,7,PBKS,CSK,PBKS,AR Ramjani (PBKS) -> 1* off 1 ; 4-28 (4.0),Smaran Ravichandran (PBKS) -> 56 off 26,AR Ramjani (PBKS) -> 4-28 (4.0),PBKS 156-7 (17.0) beat CSK 155-10 (18.4) by 3 wickets!,7.2/10
2025-11-03,8,LSG,RR,RR,Abdul Samad (LSG) -> 87 off 53 ; 2-27 (2.0),Abdul Samad (LSG) -> 87 off 53,JC Archer (LSG) -> 4-33 (4.0),RR 181-9 (19.1) beat LSG 180-6 (20.0) by 1 wicket!,8.0/10
2025-11-04,9,KKR,RCB,KKR,C Green (KKR) -> 4 off 2 ; 3-20 (4.0),RG Sharma (KKR) -> 58 off 29,C Green (KKR) -> 3-20 (4.0),KKR 176-6 (20.0) beat RCB 171-10 (20.0) by 5 runs!,9.4/10
2025-11-05,10,SRH,LSG,SRH,VR Iyer (SRH) -> 107* off 51,VR Iyer (SRH) -> 107* off 51,NT Ellis (SRH) -> 3-39 (4.0),SRH 222-5 (20.0) beat LSG 219-4 (20.0) by 3 runs!,9.4/10
2025-11-05,11,GT,MI,GT,RD Gaikwad (GT) -> 83 off 40,RD Gaikwad (GT) -> 83 off 40,Shahbaz Ahmed (GT) -> 2-46 (4.0),GT 204-4 (18.5) beat MI 203-4 (20.0) by 6 wickets!,6.0/10
