player,team,points
C Green,KKR,1087
Rasikh Salam,SRH,1041
Urvil Patel,MI,992
Shashank Singh,PBKS,971
GJ Maxwell,DC,964
Kartik Sharma,SRH,930
Abhishek Sharma,MI,895
S Dube,RR,879
SA Yadav,DC,868
Tanush Kotian,CSK,863
KL Rahul,SRH,851
Shubman Gill,LSG,836
NT Ellis,SRH,823
Priyansh Arya,RCB,810
Tilak Varma,CSK,808
Abishek Porel,LSG,779
Sufiyan Muqeem,GT,757
PWH de Silva,RCB,732
Ashutosh Sharma,GT,712
Aniket Verma,RR,710
HH Pandya,LSG,693
Ishan Kishan,KKR,691
SV Samson,GT,689
KA Pollard,RR,675
Shivam Shukla,MI,673
Shahbaz Ahmed,KKR,664
P Simran Singh,SRH,651
HJ Manenti,RCB,637
JP Inglis,GT,635
RE van der Merwe,CSK,627
V Nigam,GT,618
JJ Smit,PBKS,615
TL Seifert,PBKS,615
N Sindhu,DC,610
Naman Dhir,GT,588
JR Hazlewood,MI,588
GD Phillips,RR,570
Mohammad Ghazanfar,RR,565
Tarang Gohel,DC,555
Atharva Taide,RCB,544
H Ssenyondo,LSG,513
B Kumar,KKR,510
VR Iyer,SRH,509
MR Marsh,MI,509
V Suryavanshi,PBKS,504
Pulkit Narang,KKR,501
Mohammad Amir,LSG,491
WL Madsen,KKR,478
A Zampa,SRH,476
D Brevis,GT,469
Ajay Rohera,LSG,465
GF Linde,GT,465
CH Gayle,RCB,450
Sonu Yadav,CSK,445
KA Maharaj,RCB,443
Sikandar Raza,MI,441
JJ Bumrah,DC,436
PHKD Mendis,PBKS,426
Ravi Teja,SRH,420
SS Ghosh,RCB,419
Tushar Raheja,MI,416
Sameer Rizvi,LSG,414
Harsh Dubey,DC,408
Vansh Bedi,PBKS,405
T Stubbs,CSK,402
Karan Lal,RR,380
M Pathirana,RCB,380
Geet Puri,CSK,377
YBK Jaiswal,RR,366
RM Patidar,RCB,351
Jay Gohil,KKR,340
Abhishek Pathak,RCB,336
TM Head,KKR,333
JC Buttler,DC,330
WG Jacks,SRH,328
JM Sharma,RCB,326
Arshdeep Singh,LSG,321
JA Duffy,LSG,318
Chirag Jani,RCB,317
Prashant Solanki,CSK,315
Atharva Ankolekar,RR,314
B Muzarabani,GT,313
AR Ramjani,PBKS,312
AK Markram,DC,310
Junaid Siddique,RR,310
J Overton,GT,306
Rohan Kunnummal,MI,303
AD Russell,DC,302
SS Iyer,KKR,300
Utkarsh Singh,PBKS,289
C Sakariya,RR,289
SU Parakh,SRH,288
Shubhang Hegde,LSG,277
Tripuresh Singh,SRH,268
CV Varun,PBKS,264
DP Conway,LSG,261
Satyajeet Bachhav,MI,259
Suryansh Shedge,KKR,258
Abhishek Tanwar,MI,250
Ashwin Das,LSG,249
JC Archer,PBKS,248
Sunil Kumar,MI,243
RD Gaikwad,CSK,240
Parth Chandan,DC,237
JM Vince,CSK,234
D Forrester,LSG,233
R Parag,GT,228
R Smaran,PBKS,225
BM Duckett,SRH,218
Shaheen Shah Afridi,DC,217
Kuldeep Yadav,LSG,215
V Kohli,CSK,209
SP Narine,PBKS,207
KK Nair,CSK,198
Easwaran K,DC,198
Parvej Musaraf,KKR,194
DS Airee,DC,189
L Ngidi,RR,188
Mohammed Shami,MI,187
KH Pandya,SRH,186
Fazalhaq Farooqi,CSK,185
M Siddharth,CSK,183
Tanay Thyagarajan,CSK,182
T Natarajan,RR,177
Ritik Vats,DC,176
AM Rahane,CSK,175
Kumar Kushagra,RR,175
R Powell,CSK,172
MJ Owen,DC,172
Arshad Khan,MI,166
Naseem Shah,MI,164
Prince Yadav,GT,164
PD Salt,RR,163
Siddhesh Veer,MI,161
MS Pepper,PBKS,146
DS Rathi,LSG,146
Gurnoor Brar,DC,144
C Connolly,GT,140
V Puthur,KKR,140
Abrar Ahmed,KKR,138
DR Briggs,KKR,137
A Nagwaswalla,RR,135
Adarsh Singh,DC,134
M Markande,SRH,134
Sayed Irfan Aftab,PBKS,130
RD Rickelton,RR,129
D Wiese,KKR,128
SO Ngoche,KKR,127
Yash Singh,RCB,121
H Klaasen,CSK,118
Akash Pawar,RCB,118
MP Stoinis,SRH,117
N Rana,PBKS,116
Mangesh Yadav,GT,113
Sunny Sandhu,DC,109
Anmolpreet Singh,KKR,108
Sakibul Gani,RR,108
Ehsan Khan,MI,107
YS Chahal,KKR,105
Vishnu Vinod,RR,105
R Shepherd,SRH,103
M Poiyamozhi,CSK,101
S Gopal,PBKS,97
Nithish Kumar Reddy,GT,96
J Fraser-McGurk,KKR,96
Prashant Veer,PBKS,96
Virat Singh,KKR,95
Washington Sundar,GT,93
Harshit Rana,GT,88
T Dahiya,LSG,83
Naman Tiwari,CSK,81
Naveen-ul-Haq,CSK,79
FH Allen,LSG,78
Rishabh Chouhan,GT,77
SH Johnson,KKR,76
Ravi Bishnoi,SRH,76
AR Patel,GT,73
HC Brook,GT,71
Akshya Deka,MI,71
Yash Raj Punja,GT,71
Sairaj Patil,KKR,68
Yudhvir Singh,RR,66
JE Root,SRH,65
Mohammad Nabi,LSG,64
A Mhatre,RCB,63
Shadab Khan,SRH,61
J Suresh Kumar,PBKS,57
Imran Tahir,RCB,57
TA Boult,MI,54
Karan Shinde,SRH,52
Kunal Chandela,MI,49
RG Sharma,RCB,47
LR Chethan,LSG,47
S Arora,KKR,46
TP Ura,PBKS,45
S Lamichhane,RCB,45
Abhilash Shetty,CSK,43
Vraj Patel,RR,43
J Kariko,LSG,43
MA Starc,KKR,42
Anmol Malhotra,GT,42
RK Singh,GT,41
Akhil Singh Rawat,KKR,40
Ashwin Shelke,DC,36
Esakkimuthu A,RCB,35
Athisayaraj Davidson,RCB,34
Abhishek Prabhakar,CSK,33
Prithviraj Shekhawat,DC,31
RR Rossouw,MI,29
MS Dhoni,RCB,29
Dhruv Jurel,LSG,28
Cheepurapalli Stephen,RR,28
Zeeshan Ansari,RR,27
N Pooran,MI,27
MP Yadav,PBKS,24
RA Jadeja,LSG,24
Noor Ahmad,MI,23
TH David,GT,17
Sanskar Rawat,PBKS,17
PN Mankad,RCB,16
Sanvir Singh,PBKS,15
SR Dickson,PBKS,15
Kranthi Kumar,RCB,14
Akshat Raghuwanshi,MI,13
Krishna Prasad,CSK,13
LI Meriwala,PBKS,11
KS Carlson,PBKS,9
M Prasidh Krishna,KKR,7
Gourav Choudhury,MI,6
RA Bawa,SRH,6
JM Cox,SRH,6
SR Hain,RCB,5
Sachin Baby,RR,4
SE Rutherford,DC,4
JO Holder,RCB,3
F du Plessis,CSK,0
Shashwat Dangwal,MI,0
DR Mousley,LSG,-1
DM Gondaria,DC,-2
MS Chapman,DC,-5
HTRY Thornton,RR,-5
A Johnson,LSG,-6
D Padikkal,GT,-6
Manvanth Kumar L,PBKS,-7
A Badoni,RR,-12
