bowler,bowling_team,num_innings,wkts,balls,strike_rate,wkt_contribution_%
Rasikh Salam,SRH,13,30,287,9.57,25.86
Sufiyan Muqeem,GT,10,22,220,10.0,23.16
NT Ellis,SRH,13,25,290,11.6,21.55
Shashank Singh,PBKS,12,16,219,13.69,21.33
HJ Manenti,RCB,10,19,205,10.79,20.88
Shivam Shukla,MI,7,18,159,8.83,18.75
JJ Smit,PBKS,12,14,264,18.86,18.67
RE van der Merwe,CSK,10,16,201,12.56,18.39
Mohammad Amir,LSG,7,14,168,12.0,18.18
H Ssenyondo,LSG,9,14,210,15.0,18.18
JR Hazlewood,MI,11,17,258,15.18,17.71
C Green,KKR,12,17,281,16.53,17.35
JJ Bumrah,DC,10,13,207,15.92,17.33
Ashutosh Sharma,GT,14,16,336,21.0,16.84
Shahbaz Ahmed,KKR,10,16,210,13.12,16.33
Mohammad Ghazanfar,RR,8,15,174,11.6,16.13
Harsh Dubey,DC,8,12,186,15.5,16.0
SS Ghosh,RCB,9,14,180,12.86,15.38
B Kumar,KKR,8,15,166,11.07,15.31
Tanush Kotian,CSK,14,13,300,23.08,14.94
Pulkit Narang,KKR,7,14,149,10.64,14.29
AK Markram,DC,7,10,135,13.5,13.33
KA Maharaj,RCB,6,12,138,11.5,13.19
PWH de Silva,RCB,12,12,276,23.0,13.19
Geet Puri,CSK,6,11,138,12.55,12.64
GF Linde,GT,9,12,166,13.83,12.63
M Pathirana,RCB,9,11,196,17.82,12.09
Karan Lal,RR,8,11,179,16.27,11.83
JA Duffy,LSG,9,9,204,22.67,11.69
Arshdeep Singh,LSG,6,9,132,14.67,11.69
Sikandar Raza,MI,8,11,186,16.91,11.46
A Zampa,SRH,8,13,192,14.77,11.21
Ravi Teja,SRH,11,12,252,21.0,10.34
Prashant Solanki,CSK,3,9,66,7.33,10.34
Atharva Ankolekar,RR,5,9,119,13.22,9.68
Junaid Siddique,RR,7,9,162,18.0,9.68
B Muzarabani,GT,5,9,113,12.56,9.47
Shaheen Shah Afridi,DC,4,7,90,12.86,9.33
JC Archer,PBKS,4,7,78,11.14,9.33
CV Varun,PBKS,8,7,186,26.57,9.33
Sonu Yadav,CSK,9,8,172,21.5,9.2
Ashwin Das,LSG,3,7,63,9.0,9.09
Chirag Jani,RCB,7,8,168,21.0,8.79
C Sakariya,RR,6,8,144,18.0,8.6
AR Ramjani,PBKS,8,6,179,29.83,8.0
KA Pollard,RR,12,7,169,24.14,7.53
Sunil Kumar,MI,4,7,69,9.86,7.29
Satyajeet Bachhav,MI,4,7,90,12.86,7.29
Tripuresh Singh,SRH,2,8,48,6.0,6.9
Easwaran K,DC,4,5,96,19.2,6.67
Utkarsh Singh,PBKS,7,5,132,26.4,6.67
DS Airee,DC,3,5,72,14.4,6.67
GJ Maxwell,DC,9,5,174,34.8,6.67
Kuldeep Yadav,LSG,6,5,142,28.4,6.49
S Dube,RR,11,6,156,26.0,6.45
J Overton,GT,9,6,216,36.0,6.32
Mohammed Shami,MI,3,6,66,11.0,6.25
Fazalhaq Farooqi,CSK,6,5,138,27.6,5.75
M Siddharth,CSK,6,5,144,28.8,5.75
Tanay Thyagarajan,CSK,6,5,144,28.8,5.75
GD Phillips,RR,7,5,150,30.0,5.38
T Natarajan,RR,4,5,87,17.4,5.38
L Ngidi,RR,5,5,108,21.6,5.38
Gurnoor Brar,DC,6,4,132,33.0,5.33
MJ Owen,DC,4,4,48,12.0,5.33
Parth Chandan,DC,6,4,132,33.0,5.33
SP Narine,PBKS,6,4,66,16.5,5.33
Sayed Irfan Aftab,PBKS,5,4,108,27.0,5.33
Prince Yadav,GT,3,5,66,13.2,5.26
V Nigam,GT,12,5,156,31.2,5.26
Naseem Shah,MI,4,5,89,17.8,5.21
D Forrester,LSG,8,4,162,40.5,5.19
HH Pandya,LSG,11,4,210,52.5,5.19
Shubhang Hegde,LSG,8,4,180,45.0,5.19
Suryansh Shedge,KKR,5,5,114,22.8,5.1
Yash Singh,RCB,2,4,48,12.0,4.4
WG Jacks,SRH,11,5,204,40.8,4.31
KH Pandya,SRH,3,5,72,14.4,4.31
A Nagwaswalla,RR,1,4,24,6.0,4.3
Abhishek Sharma,MI,6,4,126,31.5,4.17
Arshad Khan,MI,4,4,66,16.5,4.17
Abhishek Tanwar,MI,6,4,96,24.0,4.17
Parvej Musaraf,KKR,5,4,96,24.0,4.08
SO Ngoche,KKR,3,4,69,17.25,4.08
DR Briggs,KKR,3,4,72,18.0,4.08
V Puthur,KKR,4,4,90,22.5,4.08
Abrar Ahmed,KKR,5,4,102,25.5,4.08
AD Russell,DC,9,3,108,36.0,4.0
DS Rathi,LSG,6,3,129,43.0,3.9
M Markande,SRH,2,4,42,10.5,3.45
M Poiyamozhi,CSK,3,3,66,22.0,3.45
Washington Sundar,GT,1,3,24,8.0,3.16
Harshit Rana,GT,2,3,48,16.0,3.16
Mangesh Yadav,GT,1,3,21,7.0,3.16
Ehsan Khan,MI,5,3,116,38.67,3.12
D Wiese,KKR,2,3,36,12.0,3.06
Prashant Veer,PBKS,3,2,60,30.0,2.67
S Gopal,PBKS,5,2,96,48.0,2.67
PHKD Mendis,PBKS,5,2,48,24.0,2.67
R Powell,CSK,3,2,24,12.0,2.3
Naman Tiwari,CSK,3,2,72,36.0,2.3
Akash Pawar,RCB,4,2,96,48.0,2.2
Yash Raj Punja,GT,3,2,72,36.0,2.11
Akshya Deka,MI,2,2,48,24.0,2.08
MR Marsh,MI,8,2,120,60.0,2.08
TA Boult,MI,2,2,42,21.0,2.08
YS Chahal,KKR,3,2,60,30.0,2.04
SH Johnson,KKR,2,2,48,24.0,2.04
Shadab Khan,SRH,4,2,66,33.0,1.72
Ravi Bishnoi,SRH,2,2,42,21.0,1.72
R Shepherd,SRH,4,2,66,33.0,1.72
Sanvir Singh,PBKS,3,1,48,48.0,1.33
MP Yadav,PBKS,3,1,60,60.0,1.33
Ashwin Shelke,DC,3,1,60,60.0,1.33
Prithviraj Shekhawat,DC,2,1,48,48.0,1.33
Mohammad Nabi,LSG,1,1,24,24.0,1.3
J Kariko,LSG,2,1,48,48.0,1.3
Naveen-ul-Haq,CSK,4,1,96,96.0,1.15
Abhilash Shetty,CSK,1,1,24,24.0,1.15
Abhishek Prabhakar,CSK,1,1,20,20.0,1.15
Athisayaraj Davidson,RCB,1,1,24,24.0,1.1
Esakkimuthu A,RCB,1,1,24,24.0,1.1
Imran Tahir,RCB,3,1,72,72.0,1.1
S Lamichhane,RCB,2,1,48,48.0,1.1
Yudhvir Singh,RR,1,1,24,24.0,1.08
Zeeshan Ansari,RR,1,1,24,24.0,1.08
Vraj Patel,RR,2,1,48,48.0,1.08
Cheepurapalli Stephen,RR,1,1,24,24.0,1.08
C Connolly,GT,3,1,42,42.0,1.05
AR Patel,GT,2,1,42,42.0,1.05
Nithish Kumar Reddy,GT,5,1,72,72.0,1.05
MA Starc,KKR,2,1,48,48.0,1.02
MP Stoinis,SRH,6,1,90,90.0,0.86
VR Iyer,SRH,6,1,42,42.0,0.86
