bowling_team,phase,wkts,eco,SR
CSK,Death,37,11.5,9.65
CSK,Middle,35,9.28,21.6
CSK,PP,15,10.42,33.6
DC,Death,38,13.51,9.39
DC,Middle,27,9.93,30.0
DC,PP,15,11.74,36.0
GT,Death,45,12.21,7.56
GT,Middle,31,9.6,24.39
GT,PP,19,9.99,26.53
KKR,Death,40,11.83,8.68
KKR,Middle,36,8.73,22.5
KKR,PP,27,10.24,20.0
LSG,Middle,25,8.97,32.04
LSG,PP,25,10.06,21.6
LSG,Death,27,12.46,14.93
MI,Death,37,12.24,9.59
MI,Middle,34,8.66,22.24
MI,PP,25,10.3,20.16
PBKS,Death,28,11.84,13.14
PBKS,Middle,30,8.45,25.2
PBKS,PP,17,8.85,29.65
RCB,Death,29,12.21,11.86
RCB,Middle,39,9.18,18.85
RCB,PP,23,10.57,21.91
RR,Death,30,12.44,11.87
RR,Middle,37,9.57,20.43
RR,PP,26,9.58,19.38
SRH,Middle,43,8.47,18.84
SRH,Death,49,10.86,7.98
SRH,PP,24,10.4,22.5
