striker,batting_team,num_innings,50+_scores,runs,strike_rate,100+_scores
Urvil Patel,MI,12,8,750,178.15,0
Kartik Sharma,SRH,15,7,694,194.4,1
SA Yadav,DC,12,6,638,183.33,2
Abishek Porel,LSG,15,6,609,155.36,0
Abhishek Sharma,MI,14,6,548,164.07,0
Ishan Kishan,KKR,14,6,537,168.34,2
KL Rahul,SRH,15,5,640,176.31,2
Shubman Gill,LSG,15,5,625,189.97,1
Tilak Varma,CSK,14,5,625,170.3,1
Priyansh Arya,RCB,13,5,601,173.7,0
GJ Maxwell,DC,14,5,590,189.1,0
TL Seifert,PBKS,12,5,462,163.25,0
Aniket Verma,RR,12,4,527,188.89,1
S Dube,RR,13,4,513,154.05,0
P Simran Singh,SRH,15,4,507,152.71,1
JP Inglis,GT,14,4,463,192.12,1
WL Madsen,KKR,11,4,367,154.2,0
KA Pollard,RR,11,4,357,166.82,0
Ajay Rohera,LSG,10,4,353,166.51,0
SV Samson,GT,14,3,524,161.73,0
Naman Dhir,GT,13,3,435,182.01,0
Atharva Taide,RCB,9,3,429,145.92,0
Tarang Gohel,DC,11,3,419,205.39,2
C Green,KKR,13,3,395,157.37,0
TM Head,KKR,4,3,255,158.39,0
N Sindhu,DC,14,2,443,200.45,0
HH Pandya,LSG,14,2,376,198.94,0
CH Gayle,RCB,14,2,342,175.38,0
D Brevis,GT,10,2,340,178.95,0
VR Iyer,SRH,14,2,334,208.75,0
T Stubbs,CSK,11,2,323,141.67,0
Tushar Raheja,MI,11,2,296,204.14,0
Vansh Bedi,PBKS,12,2,284,189.33,0
PHKD Mendis,PBKS,12,2,283,160.8,0
Jay Gohil,KKR,7,2,245,218.75,0
Abhishek Pathak,RCB,6,2,243,220.91,0
JC Buttler,DC,9,2,236,207.02,1
Rohan Kunnummal,MI,7,2,227,173.28,0
SS Iyer,KKR,9,2,225,161.87,0
JM Vince,CSK,5,2,181,147.15,0
BM Duckett,SRH,3,2,168,163.11,0
MS Pepper,PBKS,2,2,114,142.5,0
V Suryavanshi,PBKS,12,1,364,187.63,0
V Nigam,GT,12,1,330,181.32,0
Shashank Singh,PBKS,13,1,311,159.49,0
YBK Jaiswal,RR,14,1,258,226.32,0
SU Parakh,SRH,9,1,237,140.24,0
DP Conway,LSG,9,1,208,140.54,0
PWH de Silva,RCB,9,1,198,220.0,0
R Smaran,PBKS,7,1,186,155.0,0
R Parag,GT,6,1,169,176.04,0
V Kohli,CSK,9,1,167,145.22,0
KK Nair,CSK,10,1,159,176.67,0
Kumar Kushagra,RR,7,1,154,143.93,0
AM Rahane,CSK,5,1,145,131.82,0
PD Salt,RR,7,1,142,144.9,0
RD Rickelton,RR,6,1,109,126.74,0
Abhishek Tanwar,MI,7,1,104,173.33,0
N Rana,PBKS,3,1,92,153.33,0
J Fraser-McGurk,KKR,5,1,78,173.33,0
Parth Chandan,DC,2,1,62,131.91,0
Nithish Kumar Reddy,GT,2,1,60,171.43,0
