bowler,bowling_team,num_innings,wkts,balls,strike_rate,wkt_contribution_%
Noor Ahmad,MI,16,31,379,12.23,30.1
Arshdeep Singh,LSG,16,33,362,10.97,27.97
B Kumar,KKR,14,26,317,12.19,23.85
NT Ellis,SRH,9,18,210,11.67,23.38
MP Yadav,PBKS,13,23,248,10.78,22.77
PWH de Silva,RCB,13,21,306,14.57,22.11
AR Ramjani,PBKS,12,21,262,12.48,20.79
Shaheen Shah Afridi,MI,14,21,336,16.0,20.39
HJ Manenti,CSK,10,18,228,12.67,18.75
Karan Lal,RR,10,18,221,12.28,18.18
S Dube,RR,12,18,242,13.44,18.18
V Nigam,GT,13,15,294,19.6,16.3
JA Duffy,GT,9,14,200,14.29,15.22
JR Hazlewood,RR,10,15,234,15.6,15.15
Ravi Teja,RCB,10,14,217,15.5,14.74
Arshad Khan,DC,13,11,204,18.55,14.47
JJ Bumrah,DC,9,11,198,18.0,14.47
H Ssenyondo,LSG,8,17,192,11.29,14.41
A Zampa,SRH,7,11,156,14.18,14.29
Imran Tahir,CSK,6,13,136,10.46,13.54
Tanush Kotian,CSK,12,13,252,19.38,13.54
AK Markram,DC,5,10,114,11.4,13.16
A Nagwaswalla,RR,9,13,204,15.69,13.13
KA Maharaj,SRH,6,10,121,12.1,12.99
CV Varun,PBKS,10,13,216,16.62,12.87
R Sai Kishore,MI,12,13,282,21.69,12.62
MA Starc,KKR,6,13,132,10.15,11.93
SP Narine,KKR,12,13,240,18.46,11.93
JG Bethell,RR,11,11,210,19.09,11.11
LS Livingstone,KKR,7,12,158,13.17,11.01
YK Pathan,KKR,15,12,288,24.0,11.01
JJ Smit,PBKS,6,11,127,11.55,10.89
GF Linde,GT,5,10,120,12.0,10.87
Shivam Shukla,MI,8,11,192,17.45,10.68
Harsh Dubey,RCB,5,10,120,12.0,10.53
WG Jacks,LSG,16,12,312,26.0,10.17
JC Archer,LSG,10,12,218,18.17,10.17
JM Coles,MI,10,9,216,24.0,8.74
T Natarajan,CSK,6,8,105,13.12,8.33
Harshit Rana,KKR,8,9,183,20.33,8.26
C Green,KKR,9,9,172,19.11,8.26
Samant Jakhar,DC,7,6,90,15.0,7.89
MJ Owen,DC,14,6,165,27.5,7.89
Ravi Bishnoi,GT,5,7,119,17.0,7.61
R Shepherd,GT,5,7,114,16.29,7.61
Ashutosh Sharma,RCB,5,7,92,13.14,7.37
RR Patel,RCB,8,7,180,25.71,7.37
YS Chahal,RCB,5,7,102,14.57,7.37
Tanay Thyagarajan,RCB,5,7,120,17.14,7.37
Pulkit Narang,RR,3,7,51,7.29,7.07
Utkarsh Singh,PBKS,7,7,107,15.29,6.93
Shahbaz Ahmed,LSG,7,8,150,18.75,6.78
S Lamichhane,DC,9,5,199,39.8,6.58
LI Meriwala,DC,8,5,174,34.8,6.58
HV Patel,GT,5,6,120,20.0,6.52
Sufiyan Muqeem,GT,3,6,72,12.0,6.52
