striker,batting_team,num_innings,sixes,runs,strike_rate
CH Gayle,CSK,11,25,432,151.05
JM Sharma,RCB,11,21,390,194.03
R Parag,GT,10,20,244,215.93
N Pooran,MI,9,20,337,191.48
Sameer Rizvi,LSG,8,17,246,201.64
RD Rickelton,LSG,10,17,354,182.47
P Simran Singh,SRH,8,17,362,167.59
SV Samson,GT,10,17,370,165.92
Naman Dhir,GT,10,16,429,187.34
PHKD Mendis,SRH,9,16,276,179.22
KL Rahul,SRH,10,16,335,155.81
N Sindhu,DC,11,15,365,180.69
AB de Villiers,RR,9,15,257,166.88
PD Salt,RCB,11,15,397,163.37
B Sai Sudharsan,CSK,11,15,325,156.25
KA Pollard,CSK,8,14,170,212.5
Shashank Singh,PBKS,11,14,262,187.14
MJ Owen,DC,11,14,328,181.22
Aniket Verma,RR,10,14,367,174.76
WG Jacks,LSG,9,14,391,170.0
RD Gaikwad,GT,10,14,404,168.33
V Suryavanshi,PBKS,11,14,392,161.32
RG Sharma,KKR,9,13,271,197.81
Nithish Kumar Reddy,SRH,8,13,213,176.03
JP Inglis,GT,10,13,446,170.88
V Kohli,DC,11,12,291,160.77
Shubman Gill,LSG,10,12,457,151.32
Smaran Ravichandran,PBKS,11,11,325,159.31
GJ Maxwell,RR,10,11,370,155.46
Ishan Kishan,MI,7,11,217,151.75
AD Russell,DC,7,10,141,176.25
C Green,KKR,9,10,222,162.04
Abhishek Sharma,MI,9,9,395,192.68
SA Yadav,DC,11,9,301,173.99
H Klaasen,CSK,6,9,212,163.08
T Stubbs,CSK,9,9,226,155.86
S Dube,RR,7,9,121,153.16
N Rana,PBKS,10,9,171,147.41
AM Rahane,MI,9,9,230,146.5
YBK Jaiswal,RR,10,8,200,186.92
BJ McMullen,RR,8,8,285,160.11
Dhruv Jurel,RCB,8,8,195,145.52
JC Buttler,LSG,9,7,131,174.67
Priyansh Arya,SRH,10,7,244,164.86
Abishek Porel,DC,9,7,312,160.82
Tilak Varma,CSK,11,7,252,150.9
Ishaan Gadekar,RCB,3,7,171,146.15
Washington Sundar,PBKS,7,7,96,145.45
VR Iyer,SRH,8,7,202,127.85
Rahul Singh,RCB,5,6,172,163.81
RA Jadeja,RCB,8,6,117,162.5
JL Smith,KKR,4,6,89,141.27
SP Narine,KKR,7,6,200,137.93
N Wadhera,KKR,6,6,126,126.0
Q de Kock,KKR,8,6,207,123.21
Tanush Kotian,CSK,6,5,47,213.64
Anmolpreet Singh,CSK,3,5,88,169.23
AK Markram,DC,5,5,80,163.27
TM Head,MI,4,5,220,162.96
WL Madsen,MI,5,5,117,153.95
SS Iyer,LSG,8,5,174,146.22
RM Patidar,KKR,9,5,249,136.07
RR Rossouw,SRH,4,4,65,224.14
Tarang Gohel,DC,2,4,79,179.55
FH Allen,PBKS,9,4,164,169.07
Arshad Khan,RR,6,4,74,168.18
Utkarsh Singh,PBKS,2,4,46,139.39
LS Livingstone,RCB,6,4,100,133.33
PP Shaw,RCB,7,4,155,122.05
DAJ Bracewell,RCB,2,3,43,286.67
DJ Bravo,RCB,2,3,39,185.71
Chirag Jani,PBKS,3,3,123,183.58
RK Singh,MI,4,3,32,168.42
BM Duckett,PBKS,6,3,165,143.48
MA Agarwal,RR,2,3,57,142.5
HS Desai,PBKS,2,3,75,138.89
GD Phillips,GT,4,2,51,188.89
RR Pant,GT,3,2,42,182.61
J Fraser-McGurk,KKR,2,2,48,177.78
Urvil Patel,DC,4,2,72,175.61
Akash Vasisht,DC,5,2,45,173.08
CH Morris,DC,2,2,33,157.14
Karan Lal,RR,3,2,20,133.33
AR Patel,CSK,6,2,67,131.37
SPD Smith,CSK,4,2,72,107.46
Abdul Samad,LSG,5,2,47,106.82
Z Khan,KKR,1,1,7,350.0
Punit Bisht,MI,1,1,11,275.0
R Sai Kishore,MI,1,1,17,242.86
Ashutosh Aman,RCB,1,1,10,200.0
Bilal Zalmai,MI,3,1,50,178.57
Gaurav Puri,CSK,2,1,16,177.78
D Wiese,GT,2,1,10,166.67
T Natarajan,CSK,4,1,22,157.14
R Tewatia,KKR,3,1,28,155.56
SL Malinga,PBKS,1,1,14,155.56
Swapnil Singh,GT,3,1,12,150.0
RA Tripathi,KKR,3,1,31,147.62
PWH de Silva,PBKS,1,1,10,142.86
HH Pandya,MI,6,1,52,140.54
Ravi Bishnoi,LSG,2,1,7,140.0
Yuvraj Singh,RCB,1,1,7,140.0
Shakib Al Hasan,PBKS,4,1,29,138.1
V Nigam,MI,1,1,20,133.33
Mohammad Nabi,LSG,4,1,34,130.77
Ramandeep Singh,LSG,2,1,20,125.0
MW Short,DC,3,1,62,121.57
Abid Mushtaq,DC,2,1,18,120.0
Arshdeep Singh,LSG,4,1,20,117.65
V Puthur,DC,2,1,10,111.11
D Visser,RCB,4,1,18,90.0
Avesh Khan,GT,3,1,7,87.5
TH David,RR,1,1,13,86.67
CV Varun,PBKS,3,1,15,78.95
M Pathirana,RCB,2,1,6,75.0
