bowler,bowling_team,num_innings,3+_wkts,balls,economy,5+_wkts
S Lamichhane,DC,2,2,29,8.48,0
Noor Ahmad,GT,2,2,48,9.0,0
Mayank Dagar,RR,1,1,14,12.0,0
MA Starc,KKR,1,1,19,7.89,0
C Green,KKR,2,1,30,7.6,1
PHKD Mendis,SRH,2,1,32,10.12,0
Yash Thakur,CSK,2,1,33,4.73,0
Ashwani Kumar,RR,2,1,36,11.0,0
Suyash Sharma,KKR,2,1,42,9.71,0
YS Chahal,RCB,2,1,42,10.14,0
Harsh Dubey,RR,2,1,42,11.0,0
SP Narine,KKR,2,1,42,12.0,0
AK Markram,DC,2,1,48,7.0,0
Naveen-ul-Haq,SRH,2,1,48,7.62,0
Mohammad Nabi,LSG,2,1,48,9.0,0
MP Yadav,PBKS,2,1,48,11.5,0
DAJ Bracewell,RCB,2,1,48,11.88,0
Suryansh Shedge,CSK,3,1,60,11.0,0
WG Jacks,LSG,4,1,96,9.25,0
