player,team,#catches,#runout/stumping
GJ Maxwell,RR,7,0
RD Gaikwad,GT,7,0
SZ Mulani,LSG,7,1
Priyansh Arya,SRH,7,0
AB de Villiers,RR,6,0
V Suryavanshi,PBKS,6,0
Tilak Varma,CSK,5,0
V Kohli,DC,5,1
KL Rahul,SRH,5,0
Abishek Porel,DC,5,0
Arshad Khan,RR,5,0
Q de Kock,KKR,5,0
JM Sharma,RCB,4,0
M Siddharth,CSK,4,0
C Green,KKR,4,0
Shubman Gill,LSG,4,0
JP Inglis,GT,4,0
T Stubbs,CSK,4,0
Abid Mushtaq,DC,4,0
Aniket Verma,RR,3,0
JR Hazlewood,RR,3,0
RA Jadeja,RCB,3,0
CH Gayle,CSK,3,0
Abdul Samad,LSG,3,0
AM Rahane,MI,3,0
Urvil Patel,DC,3,0
RD Rickelton,LSG,3,0
RG Sharma,KKR,3,0
SP Narine,KKR,3,0
HV Patel,RR,3,0
RM Patidar,KKR,3,0
Sami Sohail,MI,2,0
SS Iyer,LSG,2,0
N Sindhu,DC,2,0
MA Wood,PBKS,2,0
SPD Smith,CSK,2,1
Mohammad Nabi,LSG,2,0
N Jagadeesan,MI,2,0
N Rana,PBKS,2,0
NT Ellis,SRH,2,0
P Simran Singh,SRH,2,0
PP Shaw,RCB,2,0
PWH de Silva,PBKS,2,0
R Parag,GT,2,0
Shahbaz Ahmed,GT,2,0
Yuvraj Chaudhary,RCB,2,0
Smaran Ravichandran,PBKS,2,0
Tarang Gohel,DC,2,0
Avesh Khan,GT,2,0
Jagjit Singh,SRH,2,0
C Sakariya,SRH,2,0
Ashutosh Sharma,RCB,2,0
Arshdeep Singh,LSG,2,0
DP Conway,PBKS,2,0
FH Allen,PBKS,2,0
Abhishek Sharma,MI,2,0
T Natarajan,CSK,2,0
YBK Jaiswal,RR,2,0
Rahul Singh,RCB,2,0
Rashid Khan,GT,1,0
WL Madsen,MI,1,0
YS Chahal,RCB,1,0
Yudhvir Singh,RCB,1,0
WG Jacks,LSG,1,1
Shashank Singh,PBKS,1,0
VR Iyer,SRH,1,0
Rasikh Salam,GT,1,1
Ravi Bishnoi,LSG,1,0
V Nigam,MI,1,0
SA Yadav,DC,1,0
Tanush Kotian,CSK,1,1
TA Boult,MI,1,0
Swapnil Singh,GT,1,0
Sameer Rizvi,LSG,1,0
Simarjeet Singh,KKR,1,0
V Puthur,DC,1,0
A Raghuvanshi,KKR,1,0
PD Salt,RCB,1,1
Bal Krishna,PBKS,1,0
GD Phillips,GT,1,0
Dhruv Jurel,RCB,1,0
DS Airee,RCB,1,0
DJ Bravo,RCB,1,0
CV Varun,PBKS,1,0
CH Morris,DC,1,0
BJ McMullen,RR,1,1
Nithish Kumar Reddy,SRH,1,0
B Kumar,KKR,1,0
Azmatullah Omarzai,SRH,1,0
Akash Vasisht,DC,1,0
AR Patel,CSK,1,0
AK Markram,DC,1,0
A Zampa,RR,1,0
H Klaasen,CSK,1,0
HH Pandya,MI,1,0
Harsh Dubey,RR,1,1
J Fraser-McGurk,KKR,1,0
JC Buttler,LSG,1,0
JG Bethell,SRH,1,0
JL Smith,KKR,1,0
KC Cariappa,MI,1,0
Kartik Sharma,SRH,1,0
Khrievitso Kense,RCB,1,0
LI Meriwala,DC,1,0
M Shahrukh Khan,GT,1,0
MA Starc,KKR,1,0
MJ Owen,DC,1,0
A Sheth,DC,1,0
N Pooran,MI,1,0
Naman Dhir,GT,1,0
MP Yadav,PBKS,1,0
Bilal Zalmai,MI,0,1
KH Pandya,SRH,0,1
SV Samson,GT,0,1
Suyash Sharma,KKR,0,1
Washington Sundar,PBKS,0,1
