striker,batting_team,num_innings,runs,strike_rate,bat_avg,run_contribution_%
P Simran Singh,SRH,16,741,164.3,49.4,21.98
JM Sharma,RCB,18,729,196.5,72.9,21.96
Naman Dhir,GT,20,860,178.05,57.33,20.78
CH Gayle,CSK,18,704,156.79,39.11,20.54
Shubman Gill,LSG,18,686,155.91,40.35,19.85
GJ Maxwell,RR,21,819,172.78,43.11,19.71
JP Inglis,GT,19,815,171.94,47.94,19.69
RD Gaikwad,GT,20,797,177.51,46.88,19.26
KL Rahul,SRH,18,633,158.25,39.56,18.77
B Sai Sudharsan,CSK,18,625,155.09,34.72,18.24
Smaran Ravichandran,PBKS,20,664,160.77,36.89,18.0
V Suryavanshi,PBKS,20,659,165.16,32.95,17.86
N Sindhu,DC,19,682,196.54,48.71,17.61
PD Salt,RCB,18,574,164.47,31.89,17.29
SA Yadav,DC,19,663,185.71,39.0,17.12
Abhishek Sharma,MI,13,606,194.86,46.62,17.04
Tilak Varma,CSK,18,584,158.7,34.35,17.04
WG Jacks,LSG,16,581,162.75,38.73,16.81
N Pooran,MI,18,592,179.94,37.0,16.65
SP Narine,KKR,16,513,139.4,32.06,16.3
Aniket Verma,RR,19,660,178.86,44.0,15.88
SV Samson,GT,19,654,160.29,36.33,15.8
Sameer Rizvi,LSG,16,533,186.36,59.22,15.42
Priyansh Arya,SRH,17,513,176.29,30.18,15.21
RM Patidar,KKR,18,471,142.73,29.44,14.97
S Dube,RR,18,588,165.63,42.0,14.15
YBK Jaiswal,RR,19,573,196.23,44.08,13.79
V Kohli,DC,19,531,161.4,31.24,13.71
C Green,KKR,18,428,165.89,30.57,13.6
RG Sharma,KKR,17,426,184.42,35.5,13.54
RD Rickelton,LSG,17,451,174.81,28.19,13.05
Ishan Kishan,MI,14,444,153.1,31.71,12.49
FH Allen,PBKS,17,449,171.37,29.93,12.17
Shashank Singh,PBKS,19,437,186.75,48.56,11.85
T Stubbs,CSK,15,400,168.78,50.0,11.67
AB de Villiers,RR,18,479,173.55,34.21,11.53
Rahul Singh,RCB,12,381,162.13,34.64,11.48
TM Head,MI,11,405,147.27,36.82,11.39
BJ McMullen,RR,15,456,159.44,30.4,10.97
MJ Owen,DC,17,409,173.31,31.46,10.56
Dhruv Jurel,RCB,14,345,151.98,31.36,10.39
PHKD Mendis,SRH,16,348,178.46,38.67,10.32
R Parag,GT,20,425,188.05,30.36,10.27
SS Iyer,LSG,16,354,154.59,23.6,10.24
N Rana,PBKS,15,377,160.43,31.42,10.22
JC Buttler,LSG,16,352,168.42,23.47,10.19
VR Iyer,SRH,14,322,143.75,46.0,9.55
Tarang Gohel,DC,8,360,173.08,45.0,9.3
N Wadhera,KKR,13,292,129.78,26.55,9.28
Abishek Porel,DC,12,351,160.27,39.0,9.06
AM Rahane,MI,17,320,138.53,21.33,9.0
Nithish Kumar Reddy,SRH,14,299,164.29,29.9,8.87
Q de Kock,KKR,10,275,122.77,27.5,8.74
H Klaasen,CSK,9,265,161.59,37.86,7.73
Ishaan Gadekar,RCB,7,245,153.12,35.0,7.38
KA Pollard,CSK,12,252,203.23,42.0,7.35
Chirag Jani,PBKS,8,240,179.1,34.29,6.51
RA Jadeja,RCB,15,210,161.54,30.0,6.33
RK Singh,MI,10,208,184.07,41.6,5.85
MR Marsh,SRH,4,179,170.48,59.67,5.31
Bilal Zalmai,MI,7,172,177.32,43.0,4.84
PP Shaw,RCB,8,158,119.7,19.75,4.76
GD Phillips,GT,12,192,176.15,27.43,4.64
BM Duckett,PBKS,7,166,141.88,23.71,4.5
Abdul Samad,LSG,12,153,127.5,17.0,4.43
Atharva Taide,MI,4,155,156.57,51.67,4.36
J Fraser-McGurk,KKR,6,135,170.89,22.5,4.29
Arshad Khan,RR,12,177,190.32,44.25,4.26
WL Madsen,MI,7,149,147.52,29.8,4.19
LS Livingstone,RCB,11,138,130.19,15.33,4.16
RA Tripathi,KKR,9,128,130.61,18.29,4.07
HH Pandya,MI,13,138,158.62,17.25,3.88
RR Rossouw,SRH,6,128,203.17,42.67,3.8
AD Russell,DC,9,147,168.97,21.0,3.8
Anmolpreet Singh,CSK,7,129,174.32,32.25,3.76
Urvil Patel,DC,6,140,155.56,35.0,3.61
DP Conway,PBKS,7,127,141.11,21.17,3.44
AK Markram,DC,8,128,154.22,18.29,3.3
Washington Sundar,PBKS,9,119,140.0,17.0,3.23
HC Brook,MI,3,110,154.93,55.0,3.09
AR Patel,CSK,9,101,150.75,14.43,2.95
CH Morris,DC,6,114,165.22,28.5,2.94
JL Smith,KKR,4,89,141.27,22.25,2.83
MA Agarwal,RR,8,113,179.37,16.14,2.72
DS Airee,RCB,6,86,136.51,14.33,2.59
Akash Vasisht,DC,8,89,189.36,22.25,2.3
HS Desai,PBKS,3,85,134.92,28.33,2.3
Utkarsh Singh,PBKS,5,82,124.24,20.5,2.22
D Wiese,GT,7,90,219.51,30.0,2.17
SPD Smith,CSK,4,72,107.46,18.0,2.1
Mohammad Nabi,LSG,9,72,124.14,12.0,2.08
MW Short,DC,4,80,123.08,20.0,2.07
D Padikkal,KKR,4,65,138.3,21.67,2.07
JM Vince,RCB,3,68,125.93,22.67,2.05
Yuvraj Chaudhary,RCB,4,65,122.64,16.25,1.96
R Powell,KKR,3,61,179.41,20.33,1.94
Tanush Kotian,CSK,10,63,175.0,7.88,1.84
MA Starc,KKR,6,55,110.0,11.0,1.75
Gaurav Puri,CSK,4,53,189.29,13.25,1.55
RR Pant,GT,4,63,185.29,31.5,1.52
DAJ Bracewell,RCB,3,50,263.16,25.0,1.51
Ramandeep Singh,LSG,4,51,150.0,25.5,1.48
TA Boult,MI,5,52,247.62,52.0,1.46
V Nigam,MI,3,50,172.41,25.0,1.41
LUVNITH SISODIA,LSG,2,48,154.84,24.0,1.39
Shakib Al Hasan,PBKS,5,50,113.64,25.0,1.36
RA Bawa,SRH,4,46,209.09,15.33,1.36
DJ Bravo,RCB,3,39,177.27,39.0,1.17
BA Stokes,LSG,2,38,152.0,19.0,1.1
SL Malinga,PBKS,2,40,200.0,inf,1.08
R Tewatia,KKR,7,34,125.93,11.33,1.08
Ashutosh Sharma,RCB,5,34,80.95,6.8,1.02
D Potgieter,DC,2,39,156.0,19.5,1.01
Rashid Khan,GT,5,41,128.12,20.5,0.99
Suryansh Shedge,CSK,6,33,84.62,5.5,0.96
D Brevis,RR,2,37,127.59,37.0,0.89
R Shepherd,GT,3,37,194.74,12.33,0.89
MS Dhoni,KKR,2,26,152.94,26.0,0.83
Arshdeep Singh,LSG,5,28,121.74,inf,0.81
Karan Lal,RR,6,33,132.0,6.6,0.79
Azmatullah Omarzai,SRH,4,24,92.31,6.0,0.71
A Raghuvanshi,KKR,5,22,75.86,4.4,0.7
Z Khan,KKR,3,22,104.76,22.0,0.7
Sikandar Raza,MI,4,25,227.27,25.0,0.7
Ashutosh Aman,RCB,2,23,191.67,11.5,0.69
Mohammad Ghazanfar,SRH,3,22,100.0,22.0,0.65
Yash Thakur,CSK,4,22,84.62,inf,0.64
T Natarajan,CSK,4,22,157.14,7.33,0.64
Sanvir Singh,PBKS,3,23,209.09,11.5,0.62
R Sai Kishore,MI,2,22,220.0,22.0,0.62
Jay Gohil,LSG,2,21,161.54,21.0,0.61
JJ Smit,PBKS,5,21,150.0,7.0,0.57
D Visser,RCB,4,18,90.0,4.5,0.54
RS Hangargekar,MI,2,19,271.43,19.0,0.53
Yuvraj Singh,RCB,2,17,121.43,8.5,0.51
JG Bethell,SRH,1,17,89.47,17.0,0.5
MS Pepper,GT,2,20,181.82,10.0,0.48
MA Wood,PBKS,2,17,154.55,8.5,0.46
PWH de Silva,PBKS,2,17,188.89,inf,0.46
Abid Mushtaq,DC,2,18,120.0,inf,0.46
Harsh Dubey,RR,4,19,105.56,19.0,0.46
PJ Cummins,RR,3,19,135.71,6.33,0.46
Khrievitso Kense,RCB,4,15,100.0,15.0,0.45
Bhanu Pania,KKR,2,14,107.69,14.0,0.44
Bal Krishna,PBKS,2,16,114.29,16.0,0.43
CV Varun,PBKS,3,15,78.95,15.0,0.41
M Siddharth,CSK,4,14,116.67,7.0,0.41
JR Hazlewood,RR,4,16,160.0,8.0,0.39
Yudhvir Singh,RCB,1,13,108.33,13.0,0.39
YS Chahal,RCB,3,13,108.33,6.5,0.39
Naveen-ul-Haq,SRH,2,13,144.44,inf,0.39
Sami Sohail,MI,3,13,130.0,6.5,0.37
KD Karthik,RCB,3,12,171.43,6.0,0.36
V Puthur,DC,3,14,116.67,7.0,0.36
Salman Nizar,RR,1,15,83.33,15.0,0.36
AV Wankhade,CSK,3,12,100.0,6.0,0.35
SZ Mulani,LSG,4,12,63.16,6.0,0.35
A Zampa,RR,3,14,77.78,7.0,0.34
HV Patel,RR,5,13,52.0,2.6,0.31
A Sheth,DC,3,12,109.09,12.0,0.31
TH David,RR,1,13,86.67,13.0,0.31
Punit Bisht,MI,1,11,275.0,11.0,0.31
LG Pretorius,RR,2,13,118.18,6.5,0.31
SB Dubey,PBKS,2,11,183.33,11.0,0.3
AA Kulkarni,GT,1,12,150.0,12.0,0.29
Swapnil Singh,GT,3,12,150.0,6.0,0.29
Avesh Khan,GT,5,12,85.71,4.0,0.29
Ravi Bishnoi,LSG,6,10,62.5,5.0,0.29
Fazalhaq Farooqi,CSK,3,8,114.29,8.0,0.23
Shahbaz Ahmed,GT,2,9,100.0,4.5,0.22
Kuldeep Yadav,SRH,2,7,50.0,3.5,0.21
M Pathirana,RCB,3,7,43.75,7.0,0.21
B Kumar,KKR,4,6,40.0,6.0,0.19
MJ Santner,KKR,3,6,85.71,6.0,0.19
MP Stoinis,GT,2,8,133.33,4.0,0.19
M Prasidh Krishna,DC,1,7,100.0,7.0,0.18
Noor Ahmad,GT,3,7,116.67,inf,0.17
AJ Tye,LSG,1,6,150.0,6.0,0.17
Harpreet Brar,PBKS,1,6,66.67,6.0,0.16
VG Arora,KKR,2,5,71.43,5.0,0.16
DS Rathi,KKR,2,5,62.5,5.0,0.16
M Markande,SRH,1,5,166.67,5.0,0.15
Mohammed Shami,GT,1,6,120.0,inf,0.14
KA Maharaj,SRH,1,4,133.33,inf,0.12
A Mhatre,RR,2,5,71.43,2.5,0.12
KK Ahmed,MI,1,4,80.0,inf,0.11
N Jagadeesan,MI,1,4,200.0,4.0,0.11
S Lamichhane,DC,2,4,133.33,2.0,0.1
Rasikh Salam,GT,1,4,400.0,inf,0.1
Suyash Sharma,KKR,1,3,50.0,inf,0.1
JC Archer,LSG,2,3,100.0,1.5,0.09
Jagjit Singh,SRH,1,3,42.86,3.0,0.09
Mukesh Kumar,MI,1,3,300.0,inf,0.08
KH Pandya,SRH,1,2,66.67,2.0,0.06
NT Ellis,SRH,3,2,12.5,0.67,0.06
LI Meriwala,DC,2,2,66.67,inf,0.05
SS Agarwal,DC,1,1,100.0,inf,0.03
MP Yadav,PBKS,1,1,50.0,inf,0.03
Kartik Sharma,SRH,1,1,33.33,1.0,0.03
Mohammed Siraj,LSG,1,1,20.0,1.0,0.03
C Sakariya,SRH,2,1,12.5,0.5,0.03
Ashwani Kumar,RR,2,1,50.0,1.0,0.02
