striker,bowl_type,phase,innings,num_inn,runs,balls_faced,outs,avg,SR,Curr_Tm
Abhishek Sharma,Pace,PP,2,20,443,217,8,55.38,204.15,MI
Shubman Gill,Pace,PP,1,24,426,251,12,35.5,169.72,LSG
Sameer Rizvi,Pace,Death,1,20,416,180,7,59.43,231.11,LSG
KL Rahul,Spin,Middle,1,15,412,245,5,82.4,168.16,SRH
SV Samson,Pace,PP,2,22,410,233,6,68.33,175.97,GT
GJ Maxwell,Pace,PP,2,24,402,223,15,26.8,180.27,DC
PD Salt,Spin,PP,2,24,401,231,6,66.83,173.59,RCB
PD Salt,Pace,PP,2,24,395,221,7,56.43,178.73,RCB
JM Sharma,Spin,Middle,2,22,390,225,6,65.0,173.33,RCB
Abhishek Sharma,Spin,PP,1,17,369,198,4,92.25,186.36,MI
SA Yadav,Spin,Middle,2,18,352,216,8,44.0,162.96,DC
V Suryavanshi,Pace,PP,1,21,342,209,6,57.0,163.64,PBKS
RG Sharma,Pace,Middle,1,14,337,207,2,168.5,162.8,KKR
Tilak Varma,Pace,PP,1,17,335,210,3,111.67,159.52,CSK
PD Salt,Spin,Middle,2,17,326,197,12,27.17,165.48,RCB
RD Gaikwad,Pace,PP,1,20,322,176,4,80.5,182.95,GT
V Kohli,Pace,PP,2,15,320,173,6,53.33,184.97,RR
C Green,Pace,Middle,2,13,320,177,3,106.67,180.79,KKR
V Kohli,Pace,PP,1,19,313,180,12,26.08,173.89,RR
Shubman Gill,Pace,PP,2,16,310,162,3,103.33,191.36,LSG
JC Buttler,Spin,Middle,1,20,308,212,8,38.5,145.28,LSG
FH Allen,Spin,PP,1,17,300,155,7,42.86,193.55,PBKS
CH Gayle,Pace,PP,1,15,299,168,6,49.83,177.98,CSK
CH Gayle,Pace,PP,2,16,297,192,5,59.4,154.69,CSK
Atharva Taide,Pace,PP,2,13,291,161,6,48.5,180.75,MI
PWH de Silva,Spin,Middle,2,12,284,148,4,71.0,191.89,RCB
Naman Dhir,Spin,Middle,2,18,282,199,6,47.0,141.71,GT
Naman Dhir,Pace,Middle,1,15,281,172,3,93.67,163.37,GT
N Pooran,Pace,Middle,2,17,281,185,4,70.25,151.89,MI
V Suryavanshi,Spin,PP,1,17,279,170,5,55.8,164.12,PBKS
S Dube,Spin,Middle,2,13,276,169,5,55.2,163.31,RR
GJ Maxwell,Pace,PP,1,19,272,155,6,45.33,175.48,DC
P Simran Singh,Pace,PP,2,17,272,155,10,27.2,175.48,SRH
FH Allen,Pace,PP,1,20,267,183,12,22.25,145.9,PBKS
Tilak Varma,Pace,PP,2,18,267,165,5,53.4,161.82,CSK
Abhishek Sharma,Pace,PP,1,18,263,127,6,43.83,207.09,MI
SA Yadav,Spin,Middle,1,11,261,143,4,65.25,182.52,DC
N Pooran,Spin,Middle,1,15,261,173,4,65.25,150.87,MI
Abhishek Sharma,Spin,Middle,1,13,260,132,10,26.0,196.97,MI
B Sai Sudharsan,Spin,Middle,1,12,257,145,5,51.4,177.24,PBKS
B Sai Sudharsan,Spin,Middle,2,13,256,175,4,64.0,146.29,PBKS
Smaran Ravichandran,Spin,Middle,2,11,255,149,3,85.0,171.14,PBKS
YBK Jaiswal,Pace,Death,1,13,254,99,3,84.67,256.57,RR
SP Narine,Spin,PP,1,14,252,150,2,126.0,168.0,KKR
Naman Dhir,Pace,Middle,2,18,251,160,7,35.86,156.88,GT
Tarang Gohel,Pace,PP,1,14,251,138,6,41.83,181.88,DC
JP Inglis,Spin,Middle,2,17,248,175,9,27.56,141.71,GT
SV Samson,Spin,PP,2,17,245,131,6,40.83,187.02,GT
S Dube,Spin,Middle,1,13,242,162,6,40.33,149.38,RR
RG Sharma,Pace,Death,1,12,241,104,5,48.2,231.73,KKR
Aniket Verma,Spin,Middle,2,12,240,123,8,30.0,195.12,RR
YBK Jaiswal,Pace,Middle,2,16,238,140,5,47.6,170.0,RR
Urvil Patel,Pace,PP,1,16,237,130,3,79.0,182.31,MI
RK Singh,Pace,Death,2,11,236,93,2,118.0,253.76,MI
CH Gayle,Spin,PP,2,15,235,146,6,39.17,160.96,CSK
RD Gaikwad,Pace,Middle,1,12,233,126,4,58.25,184.92,GT
Priyansh Arya,Pace,PP,2,16,233,127,4,58.25,183.46,RCB
Shubman Gill,Spin,PP,1,17,232,134,8,29.0,173.13,LSG
SP Narine,Spin,PP,2,12,232,124,3,77.33,187.1,KKR
YBK Jaiswal,Spin,Middle,2,17,229,157,7,32.71,145.86,RR
RD Gaikwad,Spin,PP,1,15,229,140,4,57.25,163.57,GT
Smaran Ravichandran,Spin,Middle,1,18,227,163,6,37.83,139.26,PBKS
Urvil Patel,Spin,PP,1,14,227,146,3,75.67,155.48,MI
WG Jacks,Pace,Middle,1,14,226,151,6,37.67,149.67,LSG
Nithish Kumar Reddy,Spin,Death,1,15,225,112,9,25.0,200.89,SRH
JP Inglis,Pace,PP,2,13,225,106,1,225.0,212.26,GT
Tarang Gohel,Spin,PP,2,13,225,128,3,75.0,175.78,DC
KL Rahul,Spin,Middle,2,16,225,164,8,28.12,137.2,SRH
GJ Maxwell,Spin,Middle,1,13,224,140,5,44.8,160.0,DC
N Rana,Pace,Middle,1,10,224,112,4,56.0,200.0,PBKS
PD Salt,Pace,PP,1,14,220,130,5,44.0,169.23,RCB
Tilak Varma,Spin,PP,2,14,220,113,4,55.0,194.69,CSK
Shubman Gill,Spin,PP,2,15,220,107,5,44.0,205.61,LSG
C Green,Spin,Middle,2,16,220,140,6,36.67,157.14,KKR
V Suryavanshi,Pace,PP,2,17,219,123,6,36.5,178.05,PBKS
S Dube,Pace,Middle,2,15,218,147,6,36.33,148.3,RR
PWH de Silva,Pace,PP,2,14,217,104,4,54.25,208.65,RCB
Priyansh Arya,Spin,PP,1,12,217,124,7,31.0,175.0,RCB
Sameer Rizvi,Spin,Middle,1,16,216,137,3,72.0,157.66,LSG
Naman Dhir,Spin,Middle,1,14,214,139,7,30.57,153.96,GT
Sameer Rizvi,Pace,Death,2,13,213,87,3,71.0,244.83,LSG
SP Narine,Pace,PP,1,17,213,152,8,26.62,140.13,KKR
RD Gaikwad,Pace,PP,2,15,212,136,4,53.0,155.88,GT
BJ McMullen,Pace,PP,2,12,212,145,5,42.4,146.21,RR
S Dube,Pace,Middle,1,11,212,126,4,53.0,168.25,RR
P Simran Singh,Spin,PP,1,16,211,138,9,23.44,152.9,SRH
RG Sharma,Spin,Middle,1,15,210,128,6,35.0,164.06,KKR
Tarang Gohel,Pace,PP,2,14,209,120,6,34.83,174.17,DC
Sameer Rizvi,Spin,Death,1,13,209,91,4,52.25,229.67,LSG
Shashank Singh,Spin,Death,1,11,206,102,3,68.67,201.96,PBKS
WG Jacks,Spin,Middle,1,17,205,134,7,29.29,152.99,LSG
R Parag,Spin,Middle,2,15,205,144,2,102.5,142.36,GT
Urvil Patel,Spin,Middle,1,12,200,140,5,40.0,142.86,MI
N Sindhu,Spin,Middle,1,13,200,105,6,33.33,190.48,DC
RM Patidar,Spin,Middle,1,10,198,137,4,49.5,144.53,KKR
N Sindhu,Spin,Middle,2,15,198,108,8,24.75,183.33,DC
Smaran Ravichandran,Pace,Middle,2,10,197,117,5,39.4,168.38,PBKS
SA Yadav,Pace,Middle,1,11,197,121,6,32.83,162.81,DC
AM Rahane,Spin,Middle,1,12,196,139,5,39.2,141.01,MI
Shubman Gill,Pace,Middle,2,10,195,118,2,97.5,165.25,LSG
R Parag,Pace,Death,2,14,195,90,10,19.5,216.67,GT
T Stubbs,Spin,Middle,1,13,195,128,3,65.0,152.34,CSK
Priyansh Arya,Pace,Middle,2,9,194,112,5,38.8,173.21,RCB
P Simran Singh,Pace,PP,1,14,193,119,7,27.57,162.18,SRH
V Kohli,Spin,PP,2,12,193,116,5,38.6,166.38,RR
PD Salt,Pace,Middle,1,9,193,111,7,27.57,173.87,RCB
Priyansh Arya,Spin,PP,2,14,192,111,6,32.0,172.97,RCB
VR Iyer,Spin,Middle,1,13,191,136,5,38.2,140.44,SRH
WG Jacks,Pace,PP,1,17,191,123,4,47.75,155.28,LSG
RD Gaikwad,Spin,Middle,2,10,190,123,5,38.0,154.47,GT
WG Jacks,Pace,Middle,2,10,189,127,1,189.0,148.82,LSG
JP Inglis,Spin,Middle,1,11,188,117,0,,160.68,GT
SS Iyer,Spin,Middle,1,14,188,123,5,37.6,152.85,LSG
JM Sharma,Pace,Death,2,13,188,84,4,47.0,223.81,RCB
YBK Jaiswal,Spin,Middle,1,12,187,110,3,62.33,170.0,RR
JP Inglis,Pace,Middle,1,9,187,119,1,187.0,157.14,GT
BJ McMullen,Pace,Middle,2,8,186,98,3,62.0,189.8,RR
CH Gayle,Pace,Middle,1,9,185,114,3,61.67,162.28,CSK
CH Gayle,Spin,Middle,2,13,184,127,8,23.0,144.88,CSK
Aniket Verma,Spin,Middle,1,12,184,119,4,46.0,154.62,RR
Shubman Gill,Spin,Middle,1,10,183,106,6,30.5,172.64,LSG
Tilak Varma,Spin,Middle,2,14,183,130,8,22.88,140.77,CSK
YBK Jaiswal,Pace,Middle,1,10,182,115,3,60.67,158.26,RR
JP Inglis,Spin,PP,2,11,182,85,2,91.0,214.12,GT
WL Madsen,Spin,Middle,1,10,181,117,5,36.2,154.7,MI
CH Gayle,Spin,PP,1,10,181,107,3,60.33,169.16,CSK
GJ Maxwell,Pace,Middle,1,9,181,106,7,25.86,170.75,DC
Naman Dhir,Pace,Death,1,11,180,71,3,60.0,253.52,GT
